"iso3c","variablename","year","value"
"AFG","ARMY",2017,1.779
"ALB","ARMY",2017,1.418
"DZA","ARMY",2017,1.484
"AGO","ARMY",2017,1.63
"ARG","ARMY",2017,1.258
"ARM","ARMY",2017,3.259
"AUS","ARMY",2017,1.363
"AUT","ARMY",2017,1.372
"AZE","ARMY",2017,2.032
"BHR","ARMY",2017,1.856
"BGD","ARMY",2017,1.147
"BLR","ARMY",2017,1.787
"BEL","ARMY",2017,1.401
"BEN","ARMY",2017,1.095
"BTN","ARMY",2017,1
"BOL","ARMY",2017,1.475
"BIH","ARMY",2017,1.439
"BWA","ARMY",2017,1.595
"BRA","ARMY",2017,1.247
"BGR","ARMY",2017,1.668
"BFA","ARMY",2017,1.09
"BDI","ARMY",2017,1.271
"KHM","ARMY",2017,2.191
"CMR","ARMY",2017,1.089
"CAN","ARMY",2017,1.264
"CAF","ARMY",2017,1.213
"TCD","ARMY",2017,1.315
"CHL","ARMY",2017,1.545
"CHN","ARMY",2017,1.243
"COL","ARMY",2017,1.916
"COG","ARMY",2017,1.321
"CRI","ARMY",2017,1
"CIV","ARMY",2017,1.163
"HRV","ARMY",2017,1.576
"CUB","ARMY",2017,1.654
"CYP","ARMY",2017,3.124
"CZE","ARMY",2017,1.317
"COD","ARMY",2017,1.255
"DNK","ARMY",2017,1.454
"DJI","ARMY",2017,2.69
"DOM","ARMY",2017,1.799
"ECU","ARMY",2017,1.368
"EGY","ARMY",2017,1.714
"SLV","ARMY",2017,1.617
"GNQ","ARMY",2017,1.175
"ERI","ARMY",2017,5
"EST","ARMY",2017,1.696
"ETH","ARMY",2017,1.206
"FIN","ARMY",2017,1.605
"FRA","ARMY",2017,1.477
"GAB","ARMY",2017,1.43
"GMB","ARMY",2017,1.074
"GEO","ARMY",2017,1.802
"DEU","ARMY",2017,1.327
"GHA","ARMY",2017,1.087
"GRC","ARMY",2017,2.991
"GTM","ARMY",2017,1.164
"GIN","ARMY",2017,1.117
"GNB","ARMY",2017,1.321
"GUY","ARMY",2017,1.592
"HTI","ARMY",2017,1
"HND","ARMY",2017,1.204
"HUN","ARMY",2017,1.418
"ISL","ARMY",2017,1
"IND","ARMY",2017,1.16
"IDN","ARMY",2017,1.233
"IRN","ARMY",2017,1.993
"IRQ","ARMY",2017,1.26
"IRL","ARMY",2017,1.29
"ISR","ARMY",2017,5
"ITA","ARMY",2017,1.445
"JAM","ARMY",2017,1.163
"JPN","ARMY",2017,1.297
"JOR","ARMY",2017,2.561
"KAZ","ARMY",2017,1.332
"KEN","ARMY",2017,1.077
"KSV","ARMY",2017,1
"KWT","ARMY",2017,1.562
"KGZ","ARMY",2017,1.278
"LAO","ARMY",2017,1.637
"LVA","ARMY",2017,1.388
"LBN","ARMY",2017,2.499
"LSO","ARMY",2017,1.141
"LBR","ARMY",2017,1.066
"LBY","ARMY",2017,1.167
"LTU","ARMY",2017,1.907
"MKD","ARMY",2017,1.584
"MDG","ARMY",2017,1.087
"MWI","ARMY",2017,1.043
"MYS","ARMY",2017,1.539
"MLI","ARMY",2017,1.072
"MRT","ARMY",2017,1.584
"MUS","ARMY",2017,1
"MEX","ARMY",2017,1.327
"MDA","ARMY",2017,1.216
"MNG","ARMY",2017,1.505
"MNE","ARMY",2017,1.486
"MAR","ARMY",2017,1.856
"MOZ","ARMY",2017,1.058
"MMR","ARMY",2017,2.136
"NAM","ARMY",2017,1.546
"NPL","ARMY",2017,1.511
"NLD","ARMY",2017,1.313
"NZL","ARMY",2017,1.292
"NIC","ARMY",2017,1.297
"NER","ARMY",2017,1.037
"NGA","ARMY",2017,1.096
"PRK","ARMY",2017,5
"NOR","ARMY",2017,1.739
"OMN","ARMY",2017,2.481
"PAK","ARMY",2017,1.516
"PSE","ARMY",2017,3.334
"PAN","ARMY",2017,1
"PNG","ARMY",2017,1.039
"PRY","ARMY",2017,1.248
"PER","ARMY",2017,1.391
"PHL","ARMY",2017,1.186
"POL","ARMY",2017,1.392
"PRT","ARMY",2017,1.435
"QAT","ARMY",2017,1.796
"ROU","ARMY",2017,1.557
"RUS","ARMY",2017,1.862
"RWA","ARMY",2017,1.422
"SAU","ARMY",2017,2.109
"SEN","ARMY",2017,1.137
"SRB","ARMY",2017,1.602
"SLE","ARMY",2017,1.208
"SGP","ARMY",2017,2.979
"SVK","ARMY",2017,1.448
"SVN","ARMY",2017,1.514
"SOM","ARMY",2017,1.282
"ZAF","ARMY",2017,1.185
"KOR","ARMY",2017,2.897
"SSD","ARMY",2017,3.209
"ESP","ARMY",2017,1.406
"LKA","ARMY",2017,2.416
"SDN","ARMY",2017,2.302
"SWZ","ARMY",2017,1.374
"SWE","ARMY",2017,1.457
"CHE","ARMY",2017,1.389
"SYR","ARMY",2017,2.196
"TWN","ARMY",2017,2.389
"TJK","ARMY",2017,1.158
"TZA","ARMY",2017,1.074
"THA","ARMY",2017,1.805
"TLS","ARMY",2017,1.125
"TGO","ARMY",2017,1.183
"TTO","ARMY",2017,1.446
"TUN","ARMY",2017,1.481
"TUR","ARMY",2017,1.678
"TKM","ARMY",2017,2.034
"UGA","ARMY",2017,1.17
"UKR","ARMY",2017,1.729
"ARE","ARMY",2017,2.033
"GBR","ARMY",2017,1.356
"USA","ARMY",2017,1.632
"URY","ARMY",2017,2.109
"UZB","ARMY",2017,1.23
"VEN","ARMY",2017,1.567
"VNM","ARMY",2017,1.776
"YEM","ARMY",2017,1.113
"ZMB","ARMY",2017,1.136
"ZWE","ARMY",2017,1.276
"AFG","ARMY",2016,1.767
"ALB","ARMY",2016,1.38
"DZA","ARMY",2016,1.495
"AGO","ARMY",2016,1.65
"ARG","ARMY",2016,1.261
"ARM","ARMY",2016,3.287
"AUS","ARMY",2016,1.363
"AUT","ARMY",2016,1.409
"AZE","ARMY",2016,2.044
"BHR","ARMY",2016,1.924
"BGD","ARMY",2016,1.148
"BLR","ARMY",2016,1.788
"BEL","ARMY",2016,1.417
"BEN","ARMY",2016,1.098
"BTN","ARMY",2016,1
"BOL","ARMY",2016,1.469
"BIH","ARMY",2016,1.437
"BWA","ARMY",2016,1.658
"BRA","ARMY",2016,1.249
"BGR","ARMY",2016,1.663
"BFA","ARMY",2016,1.092
"BDI","ARMY",2016,1.272
"KHM","ARMY",2016,2.202
"CMR","ARMY",2016,1.091
"CAN","ARMY",2016,1.279
"CAF","ARMY",2016,1.217
"TCD","ARMY",2016,1.325
"CHL","ARMY",2016,1.551
"CHN","ARMY",2016,1.261
"COL","ARMY",2016,1.936
"COG","ARMY",2016,1.329
"CRI","ARMY",2016,1
"CIV","ARMY",2016,1.179
"HRV","ARMY",2016,1.615
"CUB","ARMY",2016,1.665
"CYP","ARMY",2016,3.132
"CZE","ARMY",2016,1.317
"COD","ARMY",2016,1.286
"DNK","ARMY",2016,1.456
"DJI","ARMY",2016,2.712
"DOM","ARMY",2016,1.809
"ECU","ARMY",2016,1.392
"EGY","ARMY",2016,1.787
"SLV","ARMY",2016,1.593
"GNQ","ARMY",2016,1.18
"ERI","ARMY",2016,5
"EST","ARMY",2016,1.695
"ETH","ARMY",2016,1.211
"FIN","ARMY",2016,1.608
"FRA","ARMY",2016,1.493
"GAB","ARMY",2016,1.435
"GMB","ARMY",2016,1.076
"GEO","ARMY",2016,1.798
"DEU","ARMY",2016,1.333
"GHA","ARMY",2016,1.09
"GRC","ARMY",2016,2.953
"GTM","ARMY",2016,1.168
"GIN","ARMY",2016,1.121
"GNB","ARMY",2016,1.338
"GUY","ARMY",2016,1.595
"HTI","ARMY",2016,1
"HND","ARMY",2016,1.199
"HUN","ARMY",2016,1.416
"ISL","ARMY",2016,1
"IND","ARMY",2016,1.156
"IDN","ARMY",2016,1.235
"IRN","ARMY",2016,2.005
"IRQ","ARMY",2016,1.273
"IRL","ARMY",2016,1.292
"ISR","ARMY",2016,5
"ITA","ARMY",2016,1.445
"JAM","ARMY",2016,1.163
"JPN","ARMY",2016,1.297
"JOR","ARMY",2016,2.91
"KAZ","ARMY",2016,1.336
"KEN","ARMY",2016,1.079
"KSV","ARMY",2016,1
"KWT","ARMY",2016,1.576
"KGZ","ARMY",2016,1.294
"LAO","ARMY",2016,1.629
"LVA","ARMY",2016,1.378
"LBN","ARMY",2016,2.616
"LSO","ARMY",2016,1.142
"LBR","ARMY",2016,1.068
"LBY","ARMY",2016,1.167
"LTU","ARMY",2016,1.845
"MKD","ARMY",2016,1.585
"MDG","ARMY",2016,1.089
"MWI","ARMY",2016,1.044
"MYS","ARMY",2016,1.546
"MLI","ARMY",2016,1.056
"MRT","ARMY",2016,1.598
"MUS","ARMY",2016,1
"MEX","ARMY",2016,1.332
"MDA","ARMY",2016,1.215
"MNG","ARMY",2016,1.52
"MNE","ARMY",2016,1.486
"MAR","ARMY",2016,1.867
"MOZ","ARMY",2016,1.06
"MMR","ARMY",2016,2.145
"NAM","ARMY",2016,1.572
"NPL","ARMY",2016,1.513
"NLD","ARMY",2016,1.324
"NZL","ARMY",2016,1.298
"NIC","ARMY",2016,1.3
"NER","ARMY",2016,1.038
"NGA","ARMY",2016,1.067
"PRK","ARMY",2016,5
"NOR","ARMY",2016,1.774
"OMN","ARMY",2016,2.519
"PAK","ARMY",2016,1.518
"PSE","ARMY",2016,3.334
"PAN","ARMY",2016,1
"PNG","ARMY",2016,1.04
"PRY","ARMY",2016,1.238
"PER","ARMY",2016,1.395
"PHL","ARMY",2016,1.189
"POL","ARMY",2016,1.392
"PRT","ARMY",2016,1.478
"QAT","ARMY",2016,1.816
"ROU","ARMY",2016,1.553
"RUS","ARMY",2016,1.845
"RWA","ARMY",2016,1.432
"SAU","ARMY",2016,2.136
"SEN","ARMY",2016,1.142
"SRB","ARMY",2016,1.599
"SLE","ARMY",2016,1.212
"SGP","ARMY",2016,3.005
"SVK","ARMY",2016,1.453
"SVN","ARMY",2016,1.581
"SOM","ARMY",2016,1.246
"ZAF","ARMY",2016,1.187
"KOR","ARMY",2016,2.899
"SSD","ARMY",2016,3.279
"ESP","ARMY",2016,1.402
"LKA","ARMY",2016,2.132
"SDN","ARMY",2016,1.937
"SWZ","ARMY",2016,1.374
"SWE","ARMY",2016,1.467
"CHE","ARMY",2016,1.392
"SYR","ARMY",2016,2.121
"TWN","ARMY",2016,2.391
"TJK","ARMY",2016,1.159
"TZA","ARMY",2016,1.077
"THA","ARMY",2016,1.814
"TLS","ARMY",2016,1.128
"TGO","ARMY",2016,1.187
"TTO","ARMY",2016,1.448
"TUN","ARMY",2016,1.487
"TUR","ARMY",2016,2.013
"TKM","ARMY",2016,2.047
"UGA","ARMY",2016,1.17
"UKR","ARMY",2016,1.725
"ARE","ARMY",2016,2.096
"GBR","ARMY",2016,1.366
"USA","ARMY",2016,1.653
"URY","ARMY",2016,2.113
"UZB","ARMY",2016,1.234
"VEN","ARMY",2016,1.575
"VNM","ARMY",2016,1.784
"YEM","ARMY",2016,1.119
"ZMB","ARMY",2016,1.148
"ZWE","ARMY",2016,1.295
"AFG","ARMY",2015,1.873
"ALB","ARMY",2015,1.383
"DZA","ARMY",2015,1.505
"AGO","ARMY",2015,1.735
"ARG","ARMY",2015,1.264
"ARM","ARMY",2015,3.294
"AUS","ARMY",2015,1.367
"AUT","ARMY",2015,1.41
"AZE","ARMY",2015,2.075
"BHR","ARMY",2015,1.924
"BGD","ARMY",2015,1.15
"BLR","ARMY",2015,1.779
"BEL","ARMY",2015,1.423
"BEN","ARMY",2015,1.1
"BTN","ARMY",2015,1
"BOL","ARMY",2015,1.645
"BIH","ARMY",2015,1.437
"BWA","ARMY",2015,1.671
"BRA","ARMY",2015,1.238
"BGR","ARMY",2015,1.658
"BFA","ARMY",2015,1.096
"BDI","ARMY",2015,1.29
"KHM","ARMY",2015,2.222
"CMR","ARMY",2015,1.093
"CAN","ARMY",2015,1.282
"CAF","ARMY",2015,1.231
"TCD","ARMY",2015,1.288
"CHL","ARMY",2015,1.522
"CHN","ARMY",2015,1.262
"COL","ARMY",2015,1.923
"COG","ARMY",2015,1.333
"CRI","ARMY",2015,1
"CIV","ARMY",2015,1.117
"HRV","ARMY",2015,1.609
"CUB","ARMY",2015,1.666
"CYP","ARMY",2015,3.109
"CZE","ARMY",2015,1.297
"COD","ARMY",2015,1.294
"DNK","ARMY",2015,1.458
"DJI","ARMY",2015,2.716
"DOM","ARMY",2015,1.664
"ECU","ARMY",2015,1.576
"EGY","ARMY",2015,1.799
"SLV","ARMY",2015,1.358
"GNQ","ARMY",2015,1.195
"ERI","ARMY",2015,5
"EST","ARMY",2015,1.693
"ETH","ARMY",2015,1.217
"FIN","ARMY",2015,1.615
"FRA","ARMY",2015,1.506
"GAB","ARMY",2015,1.446
"GMB","ARMY",2015,1.08
"GEO","ARMY",2015,1.739
"DEU","ARMY",2015,1.341
"GHA","ARMY",2015,1.092
"GRC","ARMY",2015,2.981
"GTM","ARMY",2015,1.163
"GIN","ARMY",2015,1.126
"GNB","ARMY",2015,1.35
"GUY","ARMY",2015,1.189
"HTI","ARMY",2015,1
"HND","ARMY",2015,1.221
"HUN","ARMY",2015,1.413
"ISL","ARMY",2015,1
"IND","ARMY",2015,1.163
"IDN","ARMY",2015,1.238
"IRN","ARMY",2015,2.013
"IRQ","ARMY",2015,1.783
"IRL","ARMY",2015,1.292
"ISR","ARMY",2015,5
"ITA","ARMY",2015,1.438
"JAM","ARMY",2015,1.163
"JPN","ARMY",2015,1.296
"JOR","ARMY",2015,2.941
"KAZ","ARMY",2015,1.341
"KEN","ARMY",2015,1.08
"KSV","ARMY",2015,1
"KWT","ARMY",2015,1.594
"KGZ","ARMY",2015,1.298
"LAO","ARMY",2015,1.639
"LVA","ARMY",2015,1.374
"LBN","ARMY",2015,2.744
"LSO","ARMY",2015,1.145
"LBR","ARMY",2015,1.069
"LBY","ARMY",2015,1.167
"LTU","ARMY",2015,1.566
"MKD","ARMY",2015,1.577
"MDG","ARMY",2015,1.092
"MWI","ARMY",2015,1.045
"MYS","ARMY",2015,1.549
"MLI","ARMY",2015,1.039
"MRT","ARMY",2015,1.611
"MUS","ARMY",2015,1
"MEX","ARMY",2015,1.328
"MDA","ARMY",2015,1.208
"MNG","ARMY",2015,1.527
"MNE","ARMY",2015,1.481
"MAR","ARMY",2015,1.89
"MOZ","ARMY",2015,1.063
"MMR","ARMY",2015,2.149
"NAM","ARMY",2015,1.584
"NPL","ARMY",2015,1.519
"NLD","ARMY",2015,1.334
"NZL","ARMY",2015,1.302
"NIC","ARMY",2015,1.296
"NER","ARMY",2015,1.041
"NGA","ARMY",2015,1.068
"PRK","ARMY",2015,5
"NOR","ARMY",2015,1.779
"OMN","ARMY",2015,2.65
"PAK","ARMY",2015,1.529
"PAN","ARMY",2015,1
"PNG","ARMY",2015,1.041
"PRY","ARMY",2015,1.242
"PER","ARMY",2015,1.567
"PHL","ARMY",2015,1.19
"POL","ARMY",2015,1.391
"PRT","ARMY",2015,1.507
"QAT","ARMY",2015,1.804
"ROU","ARMY",2015,1.499
"RUS","ARMY",2015,1.824
"RWA","ARMY",2015,1.415
"SAU","ARMY",2015,2.158
"SEN","ARMY",2015,1.147
"SRB","ARMY",2015,1.594
"SLE","ARMY",2015,1.27
"SGP","ARMY",2015,3.029
"SVK","ARMY",2015,1.451
"SVN","ARMY",2015,1.59
"SOM","ARMY",2015,1.155
"ZAF","ARMY",2015,1.177
"KOR","ARMY",2015,2.971
"SSD","ARMY",2015,4.097
"ESP","ARMY",2015,1.43
"LKA","ARMY",2015,2.142
"SDN","ARMY",2015,2.211
"SWZ","ARMY",2015,1.374
"SWE","ARMY",2015,1.235
"CHE","ARMY",2015,1.394
"SYR","ARMY",2015,2.493
"TWN","ARMY",2015,2.881
"TJK","ARMY",2015,1.163
"TZA","ARMY",2015,1.081
"THA","ARMY",2015,1.816
"TLS","ARMY",2015,1.132
"TGO","ARMY",2015,1.196
"TTO","ARMY",2015,1.45
"TUN","ARMY",2015,1.492
"TUR","ARMY",2015,2.022
"TKM","ARMY",2015,1.632
"UGA","ARMY",2015,1.176
"UKR","ARMY",2015,1.412
"ARE","ARMY",2015,2.136
"GBR","ARMY",2015,1.378
"USA","ARMY",2015,1.683
"URY","ARMY",2015,2.117
"UZB","ARMY",2015,1.238
"VEN","ARMY",2015,1.575
"VNM","ARMY",2015,1.792
"YEM","ARMY",2015,1.408
"ZMB","ARMY",2015,1.152
"ZWE","ARMY",2015,1.337
"AFG","ARMY",2014,1.939
"ALB","ARMY",2014,1.673
"DZA","ARMY",2014,1.521
"AGO","ARMY",2014,1.758
"ARG","ARMY",2014,1.266
"ARM","ARMY",2014,3.301
"AUS","ARMY",2014,1.367
"AUT","ARMY",2014,1.411
"AZE","ARMY",2014,2.088
"BHR","ARMY",2014,1.947
"BGD","ARMY",2014,1.152
"BLR","ARMY",2014,1.777
"BEL","ARMY",2014,1.442
"BEN","ARMY",2014,1.103
"BTN","ARMY",2014,1
"BOL","ARMY",2014,1.655
"BIH","ARMY",2014,1.437
"BWA","ARMY",2014,1.678
"BRA","ARMY",2014,1.241
"BGR","ARMY",2014,1.653
"BFA","ARMY",2014,1.099
"BDI","ARMY",2014,1.299
"KHM","ARMY",2014,2.248
"CMR","ARMY",2014,1.096
"CAN","ARMY",2014,1.285
"CAF","ARMY",2014,1.228
"TCD","ARMY",2014,1.296
"CHL","ARMY",2014,1.528
"CHN","ARMY",2014,1.263
"COL","ARMY",2014,1.873
"COG","ARMY",2014,1.342
"CRI","ARMY",2014,1
"CIV","ARMY",2014,1.117
"HRV","ARMY",2014,1.609
"CUB","ARMY",2014,1.667
"CYP","ARMY",2014,3.121
"CZE","ARMY",2014,1.346
"COD","ARMY",2014,1.302
"DNK","ARMY",2014,1.46
"DJI","ARMY",2014,2.742
"DOM","ARMY",2014,1.712
"ECU","ARMY",2014,1.584
"EGY","ARMY",2014,1.812
"SLV","ARMY",2014,1.363
"GNQ","ARMY",2014,1.201
"ERI","ARMY",2014,5
"EST","ARMY",2014,1.709
"ETH","ARMY",2014,1.223
"FIN","ARMY",2014,1.616
"FRA","ARMY",2014,1.525
"GAB","ARMY",2014,1.457
"GMB","ARMY",2014,1.082
"GEO","ARMY",2014,1.706
"DEU","ARMY",2014,1.35
"GHA","ARMY",2014,1.094
"GRC","ARMY",2014,2.953
"GTM","ARMY",2014,1.167
"GIN","ARMY",2014,1.129
"GNB","ARMY",2014,1.359
"GUY","ARMY",2014,1.19
"HTI","ARMY",2014,1
"HND","ARMY",2014,1.225
"HUN","ARMY",2014,1.413
"ISL","ARMY",2014,1
"IND","ARMY",2014,1.163
"IDN","ARMY",2014,1.24
"IRN","ARMY",2014,2.029
"IRQ","ARMY",2014,2.222
"IRL","ARMY",2014,1.296
"ISR","ARMY",2014,5
"ITA","ARMY",2014,1.439
"JAM","ARMY",2014,1.168
"JPN","ARMY",2014,1.295
"JOR","ARMY",2014,3.046
"KAZ","ARMY",2014,1.346
"KEN","ARMY",2014,1.082
"KSV","ARMY",2014,1
"KWT","ARMY",2014,1.617
"KGZ","ARMY",2014,1.302
"LAO","ARMY",2014,1.65
"LVA","ARMY",2014,1.371
"LBN","ARMY",2014,2.862
"LSO","ARMY",2014,1.147
"LBR","ARMY",2014,1.071
"LBY","ARMY",2014,1.172
"LTU","ARMY",2014,1.65
"MKD","ARMY",2014,1.588
"MDG","ARMY",2014,1.094
"MWI","ARMY",2014,1.046
"MYS","ARMY",2014,1.558
"MLI","ARMY",2014,1.027
"MRT","ARMY",2014,1.625
"MUS","ARMY",2014,1
"MEX","ARMY",2014,1.353
"MDA","ARMY",2014,1.212
"MNG","ARMY",2014,1.536
"MNE","ARMY",2014,1.487
"MAR","ARMY",2014,1.907
"MOZ","ARMY",2014,1.065
"MMR","ARMY",2014,1.996
"NAM","ARMY",2014,1.569
"NPL","ARMY",2014,1.524
"NLD","ARMY",2014,1.335
"NZL","ARMY",2014,1.302
"NIC","ARMY",2014,1.257
"NER","ARMY",2014,1.043
"NGA","ARMY",2014,1.07
"PRK","ARMY",2014,5
"NOR","ARMY",2014,1.783
"OMN","ARMY",2014,2.708
"PAK","ARMY",2014,1.536
"PAN","ARMY",2014,1
"PNG","ARMY",2014,1.041
"PRY","ARMY",2014,1.246
"PER","ARMY",2014,1.561
"PHL","ARMY",2014,1.193
"POL","ARMY",2014,1.391
"PRT","ARMY",2014,1.622
"QAT","ARMY",2014,1.937
"ROU","ARMY",2014,1.504
"RUS","ARMY",2014,1.902
"RWA","ARMY",2014,1.426
"SAU","ARMY",2014,2.225
"SEN","ARMY",2014,1.151
"SRB","ARMY",2014,1.591
"SLE","ARMY",2014,1.275
"SGP","ARMY",2014,3.056
"SVK","ARMY",2014,1.45
"SVN","ARMY",2014,1.591
"SOM","ARMY",2014,1.29
"ZAF","ARMY",2014,1.179
"KOR","ARMY",2014,2.981
"SSD","ARMY",2014,3.942
"ESP","ARMY",2014,1.437
"LKA","ARMY",2014,2.151
"SDN","ARMY",2014,2.238
"SWZ","ARMY",2014,1.374
"SWE","ARMY",2014,1.237
"CHE","ARMY",2014,1.434
"SYR","ARMY",2014,2.345
"TWN","ARMY",2014,2.887
"TJK","ARMY",2014,1.169
"TZA","ARMY",2014,1.083
"THA","ARMY",2014,1.819
"TLS","ARMY",2014,1.134
"TGO","ARMY",2014,1.201
"TTO","ARMY",2014,1.452
"TUN","ARMY",2014,1.498
"TUR","ARMY",2014,2.031
"TKM","ARMY",2014,1.654
"UGA","ARMY",2014,1.182
"UKR","ARMY",2014,1.438
"ARE","ARMY",2014,1.98
"GBR","ARMY",2014,1.404
"USA","ARMY",2014,1.717
"URY","ARMY",2014,2.121
"UZB","ARMY",2014,1.241
"VEN","ARMY",2014,1.584
"VNM","ARMY",2014,1.818
"YEM","ARMY",2014,1.415
"ZMB","ARMY",2014,1.157
"ZWE","ARMY",2014,1.337
"AFG","ARMY",2013,1.889
"ALB","ARMY",2013,1.658
"DZA","ARMY",2013,1.533
"AGO","ARMY",2013,1.807
"ARG","ARMY",2013,1.269
"ARM","ARMY",2013,3.401
"AUS","ARMY",2013,1.38
"AUT","ARMY",2013,1.413
"AZE","ARMY",2013,2.103
"BHR","ARMY",2013,1.905
"BGD","ARMY",2013,1.156
"BLR","ARMY",2013,1.774
"BEL","ARMY",2013,1.471
"BEN","ARMY",2013,1.114
"BTN","ARMY",2013,1
"BOL","ARMY",2013,1.682
"BIH","ARMY",2013,1.445
"BWA","ARMY",2013,1.675
"BRA","ARMY",2013,1.248
"BGR","ARMY",2013,1.645
"BFA","ARMY",2013,1.096
"BDI","ARMY",2013,1.348
"KHM","ARMY",2013,2.296
"CMR","ARMY",2013,1.104
"CAN","ARMY",2013,1.288
"CAF","ARMY",2013,1.066
"TCD","ARMY",2013,1.321
"CHL","ARMY",2013,1.516
"CHN","ARMY",2013,1.261
"COL","ARMY",2013,1.887
"COG","ARMY",2013,1.359
"CRI","ARMY",2013,1
"CIV","ARMY",2013,1.117
"HRV","ARMY",2013,1.659
"CUB","ARMY",2013,1.663
"CYP","ARMY",2013,3.205
"CZE","ARMY",2013,1.346
"COD","ARMY",2013,1.293
"DNK","ARMY",2013,1.433
"DJI","ARMY",2013,2.647
"DOM","ARMY",2013,1.392
"ECU","ARMY",2013,1.592
"EGY","ARMY",2013,1.794
"SLV","ARMY",2013,1.364
"GNQ","ARMY",2013,1.205
"ERI","ARMY",2013,5
"EST","ARMY",2013,1.681
"ETH","ARMY",2013,1.242
"FIN","ARMY",2013,1.621
"FRA","ARMY",2013,1.547
"GAB","ARMY",2013,1.488
"GMB","ARMY",2013,1.083
"GEO","ARMY",2013,1.71
"DEU","ARMY",2013,1.365
"GHA","ARMY",2013,1.095
"GRC","ARMY",2013,2.917
"GTM","ARMY",2013,1.171
"GIN","ARMY",2013,1.145
"GNB","ARMY",2013,1.385
"GUY","ARMY",2013,1.201
"HTI","ARMY",2013,1
"HND","ARMY",2013,1.218
"HUN","ARMY",2013,1.412
"ISL","ARMY",2013,1
"IND","ARMY",2013,1.165
"IDN","ARMY",2013,1.243
"IRN","ARMY",2013,2.051
"IRQ","ARMY",2013,2.233
"IRL","ARMY",2013,1.299
"ISR","ARMY",2013,5
"ITA","ARMY",2013,1.451
"JAM","ARMY",2013,1.168
"JPN","ARMY",2013,1.298
"JOR","ARMY",2013,3.371
"KAZ","ARMY",2013,1.351
"KEN","ARMY",2013,1.085
"KSV","ARMY",2013,1
"KWT","ARMY",2013,1.637
"KGZ","ARMY",2013,1.307
"LAO","ARMY",2013,1.691
"LVA","ARMY",2013,1.369
"LBN","ARMY",2013,3.121
"LSO","ARMY",2013,1.137
"LBR","ARMY",2013,1.072
"LBY","ARMY",2013,2.731
"LTU","ARMY",2013,1.57
"MKD","ARMY",2013,1.589
"MDG","ARMY",2013,1.097
"MWI","ARMY",2013,1.048
"MYS","ARMY",2013,1.565
"MLI","ARMY",2013,1.065
"MRT","ARMY",2013,1.671
"MUS","ARMY",2013,1
"MEX","ARMY",2013,1.357
"MDA","ARMY",2013,1.214
"MNG","ARMY",2013,1.536
"MNE","ARMY",2013,1.481
"MAR","ARMY",2013,1.914
"MOZ","ARMY",2013,1.068
"MMR","ARMY",2013,2.009
"NAM","ARMY",2013,1.597
"NPL","ARMY",2013,1.47
"NLD","ARMY",2013,1.335
"NZL","ARMY",2013,1.305
"NIC","ARMY",2013,1.263
"NER","ARMY",2013,1.046
"NGA","ARMY",2013,1.072
"PRK","ARMY",2013,5
"NOR","ARMY",2013,1.728
"OMN","ARMY",2013,2.94
"PAK","ARMY",2013,1.542
"PAN","ARMY",2013,1
"PNG","ARMY",2013,1.063
"PRY","ARMY",2013,1.251
"PER","ARMY",2013,1.568
"PHL","ARMY",2013,1.183
"POL","ARMY",2013,1.383
"PRT","ARMY",2013,1.62
"QAT","ARMY",2013,1.993
"ROU","ARMY",2013,1.504
"RUS","ARMY",2013,1.9
"RWA","ARMY",2013,1.445
"SAU","ARMY",2013,2.231
"SEN","ARMY",2013,1.162
"SRB","ARMY",2013,1.6
"SLE","ARMY",2013,1.273
"SGP","ARMY",2013,3.063
"SVK","ARMY",2013,1.448
"SVN","ARMY",2013,1.592
"SOM","ARMY",2013,1.047
"ZAF","ARMY",2013,1.193
"KOR","ARMY",2013,2.992
"SSD","ARMY",2013,4.097
"ESP","ARMY",2013,1.446
"LKA","ARMY",2013,2.152
"SDN","ARMY",2013,2.034
"SWZ","ARMY",2013,1.374
"SWE","ARMY",2013,1.334
"CHE","ARMY",2013,1.438
"SYR","ARMY",2013,2.327
"TWN","ARMY",2013,2.891
"TJK","ARMY",2013,1.173
"TZA","ARMY",2013,1.086
