DAC member,Fragile context
Australia,Afghanistan
Australia,Bangladesh
Australia,Cambodia
Australia,Ethiopia
Australia,Iran
Australia,Iraq
Australia,Kenya
Australia,Lao People's Democratic Republic
Australia,Myanmar
Australia,Nigeria
Australia,Pakistan
Australia,Papua New Guinea
Australia,Solomon Islands
Australia,Zimbabwe
Austria,Ethiopia
Austria,Iran
Austria,Kenya
Austria,Libya
Austria,Nigeria
Austria,Pakistan
Belgium,Angola
Belgium,Burkina Faso
Belgium,Burundi
Belgium,Cameroon
Belgium,Côte d’Ivoire
Belgium,Democratic Republic of the Congo
Belgium,Ethiopia
Belgium,Guinea
Belgium,Iran
Belgium,Kenya
Belgium,Mali
Belgium,Niger
Belgium,Nigeria
Belgium,Pakistan
Belgium,Tanzania
Belgium,Uganda
Canada,Afghanistan
Canada,Bangladesh
Canada,Burkina Faso
Canada,Cameroon
Canada,Côte d’Ivoire
Canada,Democratic Republic of the Congo
Canada,Ethiopia
Canada,Guatemala
Canada,Haiti
Canada,Iraq
Canada,Kenya
Canada,Mali
Canada,Mozambique
Canada,Myanmar
Canada,Nigeria
Canada,Pakistan
Canada,South Sudan
Canada,Sudan
Canada,Tanzania
Canada,Zimbabwe
Czech Republic,Afghanistan
Czech Republic,Cambodia
Czech Republic,Ethiopia
Czech Republic,Iran
Czech Republic,Iraq
Czech Republic,Kenya
Czech Republic,Democratic People's Republic of Korea
Czech Republic,Myanmar
Czech Republic,Nigeria
Czech Republic,Pakistan
Czech Republic,Syrian Arab Republic
Czech Republic,Zambia
Denmark,Afghanistan
Denmark,Bangladesh
Denmark,Burkina Faso
Denmark,Ethiopia
Denmark,Iran
Denmark,Kenya
Denmark,Mali
Denmark,Myanmar
Denmark,Nigeria
Denmark,Pakistan
Denmark,Tanzania
Denmark,Uganda
Finland,Afghanistan
Finland,Ethiopia
Finland,Iran
Finland,Kenya
Finland,Mozambique
Finland,Myanmar
Finland,Nigeria
Finland,Tanzania
Finland,Zambia
France,Afghanistan
France,Angola
France,Bangladesh
France,Burkina Faso
France,Burundi
France,Cambodia
France,Cameroon
France,Central African Republic
France,Chad
France,Comoros
France,Congo
France,Côte d’Ivoire
France,Democratic Republic of the Congo
France,Djibouti
France,Equatorial Guinea
France,Eritrea
France,Ethiopia
France,Guatemala
France,Guinea
France,Guinea-Bissau
France,Haiti
France,Honduras
France,Iran
France,Iraq
France,Kenya
France,Lao People's Democratic Republic
France,Liberia
France,Libya
France,Madagascar
France,Mali
France,Mauritania
France,Mozambique
France,Myanmar
France,Nicaragua
France,Niger
France,Nigeria
France,Pakistan
France,Papua New Guinea
France,South Sudan
France,Sudan
France,Tajikistan
France,Tanzania
France,Togo
France,Uganda
France,Venezuela
France,Zambia
France,Zimbabwe
Germany,Afghanistan
Germany,Angola
Germany,Bangladesh
Germany,Burkina Faso
Germany,Burundi
Germany,Cambodia
Germany,Cameroon
Germany,Chad
Germany,Congo
Germany,Côte d’Ivoire
Germany,Democratic Republic of the Congo
Germany,Djibouti
Germany,Equatorial Guinea
Germany,Eritrea
Germany,Ethiopia
Germany,Guatemala
Germany,Guinea
Germany,Haiti
Germany,Honduras
Germany,Iran
Germany,Iraq
Germany,Kenya
Germany,Democratic People's Republic of Korea
Germany,Lao People's Democratic Republic
Germany,Liberia
Germany,Madagascar
Germany,Mali
Germany,Mauritania
Germany,Mozambique
Germany,Myanmar
Germany,Nicaragua
Germany,Niger
Germany,Nigeria
Germany,Pakistan
Germany,Sierra Leone
Germany,South Sudan
Germany,Sudan
Germany,Tajikistan
Germany,Tanzania
Germany,Togo
Germany,Uganda
Germany,Venezuela
Germany,Zambia
Germany,Zimbabwe
Greece,Democratic Republic of the Congo
Greece,Ethiopia
Greece,Iran
Greece,Iraq
Greece,Kenya
Greece,Nigeria
Greece,Pakistan
Greece,Venezuela
Greece,Zimbabwe
Hungary,Angola
Hungary,Ethiopia
Hungary,Iran
Hungary,Iraq
Hungary,Kenya
Hungary,Nigeria
Hungary,Pakistan
Iceland,Uganda
Ireland,Ethiopia
Ireland,Kenya
Ireland,Liberia
Ireland,Mozambique
Ireland,Nigeria
Ireland,Sierra Leone
Ireland,Tanzania
Ireland,Uganda
Ireland,Zambia
Italy,Afghanistan
Italy,Angola
Italy,Bangladesh
Italy,Cameroon
Italy,Congo
Italy,Côte d’Ivoire
Italy,Democratic Republic of the Congo
Italy,Eritrea
Italy,Ethiopia
Italy,Guatemala
Italy,Guinea
Italy,Iran
Italy,Iraq
Italy,Kenya
Italy,Libya
Italy,Mozambique
Italy,Myanmar
Italy,Nicaragua
Italy,Niger
Italy,Nigeria
Italy,Pakistan
Italy,Sudan
Italy,Tanzania
Italy,Uganda
Italy,Venezuela
Italy,Zambia
Italy,Zimbabwe
Japan,Afghanistan
Japan,Angola
Japan,Bangladesh
Japan,Burkina Faso
Japan,Cambodia
Japan,Cameroon
Japan,Côte d’Ivoire
Japan,Democratic Republic of the Congo
Japan,Djibouti
Japan,Ethiopia
Japan,Guatemala
Japan,Guinea
Japan,Haiti
Japan,Honduras
Japan,Iran
Japan,Iraq
Japan,Kenya
Japan,Lao People's Democratic Republic
Japan,Madagascar
Japan,Mali
Japan,Mauritania
Japan,Mozambique
Japan,Myanmar
Japan,Nicaragua
Japan,Nigeria
Japan,Pakistan
Japan,Papua New Guinea
Japan,Solomon Islands
Japan,South Sudan
Japan,Sudan
Japan,Tajikistan
Japan,Tanzania
Japan,Uganda
Japan,Venezuela
Japan,Zambia
Japan,Zimbabwe
Korea,Afghanistan
Korea,Angola
Korea,Bangladesh
Korea,Cambodia
Korea,Cameroon
Korea,Côte d’Ivoire
Korea,Democratic Republic of the Congo
Korea,Ethiopia
Korea,Guatemala
Korea,Honduras
Korea,Iran
Korea,Iraq
Korea,Kenya
Korea,Lao People's Democratic Republic
Korea,Madagascar
Korea,Mozambique
Korea,Myanmar
Korea,Nicaragua
Korea,Nigeria
Korea,Pakistan
Korea,Papua New Guinea
Korea,Sudan
Korea,Tajikistan
Korea,Tanzania
Korea,Uganda
Korea,Venezuela
Korea,Zimbabwe
Luxembourg,Burkina Faso
Luxembourg,Lao People's Democratic Republic
Netherlands,Afghanistan
Netherlands,Angola
Netherlands,Bangladesh
Netherlands,Burundi
Netherlands,Côte d’Ivoire
Netherlands,Democratic Republic of the Congo
Netherlands,Ethiopia
Netherlands,Iran
Netherlands,Iraq
Netherlands,Kenya
Netherlands,Mali
Netherlands,Mozambique
Netherlands,Myanmar
Netherlands,Nigeria
Netherlands,Pakistan
Netherlands,South Sudan
Netherlands,Sudan
Netherlands,Tanzania
Netherlands,Uganda
Netherlands,Venezuela
Netherlands,Zimbabwe
New Zealand,Ethiopia
New Zealand,Iran
New Zealand,Iraq
New Zealand,Myanmar
New Zealand,Papua New Guinea
New Zealand,Solomon Islands
Norway,Afghanistan
Norway,Angola
Norway,Bangladesh
Norway,Ethiopia
Norway,Iran
Norway,Kenya
Norway,Mali
Norway,Mozambique
Norway,Myanmar
Norway,Nigeria
Norway,Pakistan
Norway,South Sudan
Norway,Sudan
Norway,Tanzania
Norway,Uganda
Poland,Angola
Poland,Ethiopia
Poland,Iran
Poland,Iraq
Poland,Kenya
Poland,Democratic People's Republic of Korea
Poland,Nigeria
Poland,Pakistan
Poland,Tanzania
Poland,Venezuela
Portugal,Democratic Republic of the Congo
Portugal,Ethiopia
Portugal,Guinea-Bissau
Portugal,Iran
Portugal,Mozambique
Portugal,Nigeria
Portugal,Pakistan
Portugal,Venezuela
Portugal,Zimbabwe
Slovak Republic,Ethiopia
Slovak Republic,Iran
Slovak Republic,Kenya
Slovak Republic,Nigeria
Slovenia,Iran
Spain,Afghanistan
Spain,Angola
Spain,Bangladesh
Spain,Cameroon
Spain,Côte d’Ivoire
Spain,Democratic Republic of the Congo
Spain,Equatorial Guinea
Spain,Ethiopia
Spain,Guatemala
Spain,Guinea
Spain,Guinea-Bissau
Spain,Haiti
Spain,Honduras
Spain,Iran
Spain,Iraq
Spain,Kenya
Spain,Mali
Spain,Mauritania
Spain,Mozambique
Spain,Nicaragua
Spain,Niger
Spain,Nigeria
Spain,Pakistan
Spain,Sudan
Spain,Tanzania
Spain,Venezuela
Spain,Zimbabwe
Sweden,Afghanistan
Sweden,Angola
Sweden,Bangladesh
Sweden,Cambodia
Sweden,Democratic Republic of the Congo
Sweden,Ethiopia
Sweden,Guatemala
Sweden,Iran
Sweden,Iraq
Sweden,Kenya
Sweden,Democratic People's Republic of Korea
Sweden,Liberia
Sweden,Mali
Sweden,Mozambique
Sweden,Nigeria
Sweden,Pakistan
Sweden,Sudan
Sweden,Tanzania
Sweden,Uganda
Sweden,Zambia
Sweden,Zimbabwe
Switzerland,Angola
Switzerland,Bangladesh
Switzerland,Cameroon
Switzerland,Côte d’Ivoire
Switzerland,Democratic Republic of the Congo
Switzerland,Ethiopia
Switzerland,Guatemala
Switzerland,Haiti
Switzerland,Iran
Switzerland,Kenya
Switzerland,Madagascar
Switzerland,Mozambique
Switzerland,Myanmar
Switzerland,Nigeria
Switzerland,Pakistan
Switzerland,Sudan
Switzerland,Tanzania
Switzerland,Venezuela
Switzerland,Zimbabwe
United Kingdom,Afghanistan
United Kingdom,Angola
United Kingdom,Bangladesh
United Kingdom,Cambodia
United Kingdom,Cameroon
United Kingdom,Côte d’Ivoire
United Kingdom,Democratic Republic of the Congo
United Kingdom,Eritrea
United Kingdom,Ethiopia
United Kingdom,Gambia
United Kingdom,Guatemala
United Kingdom,Guinea
United Kingdom,Haiti
United Kingdom,Iran
United Kingdom,Iraq
United Kingdom,Kenya
United Kingdom,Democratic People's Republic of Korea
United Kingdom,Lao People's Democratic Republic
United Kingdom,Liberia
United Kingdom,Madagascar
United Kingdom,Mali
United Kingdom,Mozambique
United Kingdom,Myanmar
United Kingdom,Nigeria
United Kingdom,Pakistan
United Kingdom,Papua New Guinea
United Kingdom,Sierra Leone
United Kingdom,Solomon Islands
United Kingdom,Somalia
United Kingdom,South Sudan
United Kingdom,Sudan
United Kingdom,Tajikistan
United Kingdom,Tanzania
United Kingdom,Uganda
United Kingdom,Venezuela
United Kingdom,Zambia
United Kingdom,Zimbabwe
United Kingdom,Eswatini
United Kingdom,Lesotho
United Kingdom,Nicaragua
United States,Afghanistan
United States,Angola
United States,Bangladesh
United States,Burkina Faso
United States,Burundi
United States,Cambodia
United States,Cameroon
United States,Central African Republic
United States,Chad
United States,Congo
United States,Côte d’Ivoire
United States,Democratic Republic of the Congo
United States,Djibouti
United States,Equatorial Guinea
United States,Eritrea
United States,Eswatini
United States,Ethiopia
United States,Gambia
United States,Guatemala
United States,Guinea
United States,Haiti
United States,Honduras
United States,Iraq
United States,Kenya
United States,Lao People's Democratic Republic
United States,Lesotho
United States,Liberia
United States,Madagascar
United States,Mali
United States,Mauritania
United States,Mozambique
United States,Myanmar
United States,Nicaragua
United States,Niger
United States,Nigeria
United States,Pakistan
United States,Papua New Guinea
United States,Sierra Leone
United States,Somalia
United States,South Sudan
United States,Sudan
United States,Tajikistan
United States,Tanzania
United States,Togo
United States,Uganda
United States,Venezuela
United States,Zambia
United States,Zimbabwe
EU Institutions,Afghanistan
EU Institutions,Angola
EU Institutions,Bangladesh
EU Institutions,Burkina Faso
EU Institutions,Burundi
EU Institutions,Cambodia
EU Institutions,Cameroon
EU Institutions,Central African Republic
EU Institutions,Chad
EU Institutions,Congo
EU Institutions,Côte d’Ivoire
EU Institutions,Democratic Republic of the Congo
EU Institutions,Djibouti
EU Institutions,Eritrea
EU Institutions,Eswatini
EU Institutions,Ethiopia
EU Institutions,Gambia
EU Institutions,Guatemala
EU Institutions,Guinea
EU Institutions,Guinea-Bissau
EU Institutions,Haiti
EU Institutions,Honduras
EU Institutions,Iran
EU Institutions,Iraq
EU Institutions,Kenya
EU Institutions,Lao People's Democratic Republic
EU Institutions,Lesotho
EU Institutions,Liberia
EU Institutions,Libya
EU Institutions,Madagascar
EU Institutions,Mali
EU Institutions,Mauritania
EU Institutions,Mozambique
EU Institutions,Myanmar
EU Institutions,Nicaragua
EU Institutions,Niger
EU Institutions,Nigeria
EU Institutions,Pakistan
EU Institutions,Papua New Guinea
EU Institutions,Sierra Leone
EU Institutions,Somalia
EU Institutions,South Sudan
EU Institutions,Sudan
EU Institutions,Syrian Arab Republic
EU Institutions,Tajikistan
EU Institutions,Tanzania
EU Institutions,Togo
EU Institutions,Uganda
EU Institutions,Venezuela
EU Institutions,Yemen
EU Institutions,Zambia
EU Institutions,Zimbabwe
