,ISO,COUNTRY,YEAR,NP_COMPOSITE,SN_COMPOSITE
SDN2014,SDN,Sudan,2014,7.17559649,7.342263156
IRQ2014,IRQ,Iraq,2014,7.105942898,7.272609565
YEM2014,YEM,Yemen,2014,7.103468669,7.270135335
COD2014,COD,"Congo, the Democratic Republic of the",2014,6.934588862,7.101255529
AFG2014,AFG,Afghanistan,2014,6.91863325,7.085299917
PAK2014,PAK,Pakistan,2014,6.864562744,7.03122941
SSD2014,SSD,South Sudan,2014,6.678394979,6.845061646
SOM2014,SOM,Somalia,2014,6.473370516,6.50670385
SYR2014,SYR,Syrian Arab Republic,2014,6.423092534,6.456425867
NGA2014,NGA,Nigeria,2014,6.357784587,6.524451254
CAF2014,CAF,Central African Republic,2014,5.875056627,6.041723293
LBY2014,LBY,Libya,2014,5.81999477,5.853328104
TCD2014,TCD,Chad,2014,5.486864848,5.653531515
ETH2014,ETH,Ethiopia,2014,5.485395252,5.652061918
MMR2014,MMR,Myanmar,2014,5.449587753,5.682921086
PSE2014,PSE,"Palestine, State of",2014,5.33487873,5.63487873
ERI2014,ERI,Eritrea,2014,5.28703189,5.453698556
AGO2014,AGO,Angola,2014,5.272559313,5.43922598
UKR2014,UKR,Ukraine,2014,5.097422111,5.264088778
UGA2014,UGA,Uganda,2014,5.088325116,5.254991782
CMR2014,CMR,Cameroon,2014,5.078033164,5.244699831
RWA2014,RWA,Rwanda,2014,5.048049444,5.081382778
IND2014,IND,India,2014,5.024989758,5.191656425
KEN2014,KEN,Kenya,2014,4.956118408,5.122785075
IRN2014,IRN,"Iran, Islamic Republic of",2014,4.921223352,5.087890019
TKM2014,TKM,Turkmenistan,2014,4.826915105,4.860248439
UZB2014,UZB,Uzbekistan,2014,4.761453624,4.794786958
EGY2014,EGY,Egypt,2014,4.744550796,4.777884129
VEN2014,VEN,"Venezuela, Bolivarian Republic of",2014,4.711140813,4.744474146
BGD2014,BGD,Bangladesh,2014,4.702637808,4.869304475
COL2014,COL,Colombia,2014,4.683684347,4.71701768
NER2014,NER,Niger,2014,4.682705674,4.84937234
ZWE2014,ZWE,Zimbabwe,2014,4.679616579,4.846283246
GIN2014,GIN,Guinea,2014,4.664076259,4.830742925
TJK2014,TJK,Tajikistan,2014,4.654665269,4.687998603
HTI2014,HTI,Haiti,2014,4.608228511,4.641561844
MLI2014,MLI,Mali,2014,4.592124409,4.758791076
CIV2014,CIV,Cote d'Ivoire,2014,4.571910906,4.738577572
ZMB2014,ZMB,Zambia,2014,4.571562099,4.738228766
MRT2014,MRT,Mauritania,2014,4.552077995,4.718744662
COG2014,COG,Congo,2014,4.542810991,4.709477657
LBN2014,LBN,Lebanon,2014,4.50254611,4.669212777
PRK2014,PRK,"Korea, Democratic People's Republic of",2014,4.475816595,4.509149928
DZA2014,DZA,Algeria,2014,4.382902924,4.416236257
BDI2014,BDI,Burundi,2014,4.380912334,4.547579001
TZA2014,TZA,"Tanzania, United Republic of",2014,4.371263888,4.537930554
SEN2014,SEN,Senegal,2014,4.361918604,4.528585271
RUS2014,RUS,Russian Federation,2014,4.359071086,4.525737753
SWZ2014,SWZ,Swaziland,2014,4.326435479,4.359768812
AZE2014,AZE,Azerbaijan,2014,4.300623412,4.533956745
DJI2014,DJI,Djibouti,2014,4.266864097,4.433530764
LKA2014,LKA,Sri Lanka,2014,4.230897855,4.397564521
BFA2014,BFA,Burkina Faso,2014,4.228122299,4.261455632
CHN2014,CHN,China,2014,4.208325594,4.374992261
MDG2014,MDG,Madagascar,2014,4.201597672,4.234931006
GTM2014,GTM,Guatemala,2014,4.189643915,4.222977249
TGO2014,TGO,Togo,2014,4.178453219,4.345119886
KGZ2014,KGZ,Kyrgyzstan,2014,4.164589806,4.197923139
MOZ2014,MOZ,Mozambique,2014,4.159518417,4.326185084
NPL2014,NPL,Nepal,2014,4.146927406,4.313594073
BOL2014,BOL,"Bolivia, Plurinational State of",2014,4.128628348,4.295295014
SAU2014,SAU,Saudi Arabia,2014,4.116513397,4.283180063
LAO2014,LAO,Lao People's Democratic Republic,2014,4.043125349,4.209792015
GNQ2014,GNQ,Equatorial Guinea,2014,4.01709972,4.183766386
Mar-14,MAR,Morocco,2014,4.011398473,4.178065139
KAZ2014,KAZ,Kazakhstan,2014,3.997200537,4.03053387
ZAF2014,ZAF,South Africa,2014,3.978512455,4.145179122
MEX2014,MEX,Mexico,2014,3.960519583,4.193852916
JOR2014,JOR,Jordan,2014,3.93551869,4.102185356
GAB2014,GAB,Gabon,2014,3.878325771,4.044992437
ECU2014,ECU,Ecuador,2014,3.872145539,3.905478872
BEN2014,BEN,Benin,2014,3.860831037,4.027497703
BLR2014,BLR,Belarus,2014,3.859326352,4.025993018
MWI2014,MWI,Malawi,2014,3.858068508,4.024735174
LSO2014,LSO,Lesotho,2014,3.812385035,3.845718369
PHL2014,PHL,Philippines,2014,3.80780157,3.974468236
HND2014,HND,Honduras,2014,3.802840126,3.836173459
THA2014,THA,Thailand,2014,3.799133379,3.965800045
BRA2014,BRA,Brazil,2014,3.781437549,3.814770883
DOM2014,DOM,Dominican Republic,2014,3.764706972,3.798040306
NAM2014,NAM,Namibia,2014,3.76239389,3.929060557
GMB2014,GMB,Gambia,2014,3.755542354,3.788875688
PER2014,PER,Peru,2014,3.721342531,3.754675864
TUR2014,TUR,Turkey,2014,3.701371213,3.86803788
PNG2014,PNG,Papua New Guinea,2014,3.627335591,3.660668924
KHM2014,KHM,Cambodia,2014,3.616983248,3.783649915
ARM2014,ARM,Armenia,2014,3.614502476,3.64783581
IDN2014,IDN,Indonesia,2014,3.565806705,3.732473372
VNM2014,VNM,Viet Nam,2014,3.558006549,3.591339882
SLE2014,SLE,Sierra Leone,2014,3.534390511,3.701057178
GNB2014,GNB,Guinea-Bissau,2014,3.513385586,3.680052253
MDA2014,MDA,"Moldova, Republic of",2014,3.496889681,3.530223015
JAM2014,JAM,Jamaica,2014,3.481943103,3.515276436
GUY2014,GUY,Guyana,2014,3.468742851,3.502076184
TLS2014,TLS,Timor-Leste,2014,3.448451696,3.481785029
TUN2014,TUN,Tunisia,2014,3.447965904,3.481299238
NIC2014,NIC,Nicaragua,2014,3.437003321,3.470336654
COM2014,COM,Comoros,2014,3.428816904,3.728816904
MYS2014,MYS,Malaysia,2014,3.409147598,3.575814265
GHA2014,GHA,Ghana,2014,3.40452379,3.571190457
LBR2014,LBR,Liberia,2014,3.396235088,3.562901754
BIH2014,BIH,Bosnia and Herzegovina,2014,3.379967828,3.546634495
SLV2014,SLV,El Salvador,2014,3.350959514,3.384292848
GEO2014,GEO,Georgia,2014,3.34271761,3.576050943
PRY2014,PRY,Paraguay,2014,3.297639959,3.330973292
MNG2014,MNG,Mongolia,2014,3.279457009,3.312790342
BTN2014,BTN,Bhutan,2014,3.256308298,3.422974965
ISR2014,ISR,Israel,2014,3.214213711,3.380880378
BWA2014,BWA,Botswana,2014,3.204093064,3.37075973
OMN2014,OMN,Oman,2014,3.136200829,3.169534163
BHR2014,BHR,Bahrain,2014,3.032362398,3.199029065
SLB2014,SLB,Solomon Islands,2014,3.012532073,3.245865407
FJI2014,FJI,Fiji,2014,2.98577508,3.152441747
ARG2014,ARG,Argentina,2014,2.936021958,2.969355291
ALB2014,ALB,Albania,2014,2.902240494,2.935573827
CUB2014,CUB,Cuba,2014,2.879625658,2.912958991
SUR2014,SUR,Suriname,2014,2.846365321,3.013031987
ARE2014,ARE,United Arab Emirates,2014,2.826944459,2.860277792
KWT2014,KWT,Kuwait,2014,2.825127753,2.991794419
MKD2014,MKD,"Macedonia, the former Yugoslav Republic of",2014,2.713837142,2.880503809
TTO2014,TTO,Trinidad and Tobago,2014,2.703551523,2.870218189
PAN2014,PAN,Panama,2014,2.692219668,2.725553001
SRB2014,SRB,Serbia,2014,2.674563148,2.907896481
USA2014,USA,United States,2014,2.633192337,2.799859004
QAT2014,QAT,Qatar,2014,2.417132565,2.583799231
CRI2014,CRI,Costa Rica,2014,2.33569108,2.369024413
MUS2014,MUS,Mauritius,2014,2.140168386,2.306835052
MNE2014,MNE,Montenegro,2014,2.082420354,2.24908702
CHL2014,CHL,Chile,2014,2.035722908,2.069056242
SGP2014,SGP,Singapore,2014,1.981520478,2.148187145
KOR2014,KOR,"Korea, Republic of",2014,1.979901682,2.013235015
URY2014,URY,Uruguay,2014,1.770907636,1.804240969
AUS2014,AUS,Australia,2014,1.65746036,1.690793693
CAN2014,CAN,Canada,2014,1.582902458,1.749569125
NOR2014,NOR,Norway,2014,1.560670804,1.594004137
JPN2014,JPN,Japan,2014,1.507713327,1.54104666
NZL2014,NZL,New Zealand,2014,1.203896816,1.370563482
CHE2014,CHE,Switzerland,2014,1.194750902,1.361417569
