"Country","Region","Subregion","Indicator","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Afghanistan","Asia","Southern Asia","Homicide Rate",,,,,,,,,,,,,,,,,,,,4,3.4,4.1,6.3,,,10,6.6,7.1
"Albania","Europe","Southern Europe","Homicide Rate",,,4,6,3.6,8.3,8.8,43.1,21.3,17.1,4.2,7,6.9,5.3,4.2,5,3.1,3.5,3.1,2.9,4.3,4.9,5.4,4.2,4,2.8,3.4,2.3
"Algeria","Africa","Northern Africa","Homicide Rate",,,,,,,,,,,,,,2,1.4,0.6,0.9,0.8,0.9,0.8,0.7,0.8,1.4,1.3,1.5,1.4,,
"American Samoa","Oceania","Polynesia","Homicide Rate",,,,,,,,,,,,1.7,11.9,5.1,6.7,10.1,6.8,1.7,5.3,3.6,9,9,3.6,5.4,5.4,7.2,5.4,
"Andorra","Europe","Southern Europe","Homicide Rate",,,,,,,,,,,,,,,1.3,,,0,1.2,0,0,1.2,0,0,0,0,,
"Angola","Africa","Middle Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,4.4,4.8,,,,,
"Anguilla","Americas","Caribbean","Homicide Rate",0,11.5,0,10.8,0,10.2,0,9.7,0,0,9,0,17.1,16.6,8.1,0,38.8,30.4,7.5,7.4,0,0,35.4,7,27.7,,,
"Antigua and Barbuda","Americas","Caribbean","Homicide Rate",1.5,4.5,2.9,5.7,7,9.5,4,1.3,,,6,8.2,5.8,5.7,4.5,3.4,12.2,18.6,17.3,17.1,6.3,,10.3,,,,,
"Argentina","Americas","South America","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,7.5,6.5,6,5.1
"Armenia","Asia","Western Asia","Homicide Rate",5,5.3,8.9,8,4.8,3.6,3.6,3.2,3,2.9,3,2.9,2.3,2.5,2.8,1.9,2.7,2.6,3.3,3.4,1.9,2.5,2.3,2.2,2.5,2.6,3,2.4
"Aruba","Americas","Caribbean","Homicide Rate",0,,,,,7.5,,,,2.2,,4.3,5.3,4.1,2,6,5,3,4.9,3.9,3.9,2,3.9,5.8,1.9,,,
"Australia","Oceania","Australia and New Zealand","Homicide Rate",2.2,2,1.7,1.9,1.8,2,1.9,2,1.8,2,1.9,1.8,1.9,1.5,1.3,1.3,1.4,1.2,1.2,1.2,1,1.1,1.1,1.1,1,1,0.9,0.8
"Austria","Europe","Western Europe","Homicide Rate",1.2,1.3,1.2,1,1.1,1,1.2,0.8,1,0.7,1,0.9,0.8,0.6,0.7,0.7,0.7,0.5,0.7,0.6,0.7,0.9,0.9,0.7,0.5,0.5,0.7,
"Azerbaijan","Asia","Western Asia","Homicide Rate",4.5,4.9,7.5,6.3,6.5,5.7,5.1,3.6,3.5,3,2.8,2.7,2.6,2.2,2.4,2.2,2.2,2.2,2.2,,2.3,,2.2,2.4,2.5,2.3,2.1,2
"Bahamas","Americas","Caribbean","Homicide Rate",17.6,10.7,15.4,12.9,18.8,14.3,18,16,,,24.8,14.2,16.8,15.8,13.6,15.8,18.2,22.8,20.9,24.5,26.1,34.6,29.8,31.5,32.4,37.7,28.4,30.9
"Bahrain","Asia","Western Asia","Homicide Rate",,,,,,0.9,1.4,1,,,,1.3,1.1,0.4,0.8,0.4,0.7,0.4,0.5,1.1,0.9,0.5,0.3,0.4,0.5,,,
"Bangladesh","Asia","Southern Asia","Homicide Rate",,,,,,,,,,,2.5,2.7,2.6,2.5,2.8,2.5,2.9,2.6,2.8,2.8,2.6,2.6,2.6,2.8,2.8,2.5,2.2,2.2
"Barbados","Americas","Caribbean","Homicide Rate",13.1,8,8.4,8,7.6,6.4,,,7.5,8.6,7.4,9.2,9.2,12.1,8.1,10.6,12.7,9.1,8.3,6.8,11.1,9.6,7.8,8.5,8.8,10.9,7.7,10.5
"Belarus","Europe","Eastern Europe","Homicide Rate",5,4.5,5.8,7.4,8.1,9.5,9.6,10.1,10.3,9.8,10.2,9.8,10.1,9,8.4,8.6,7.7,6.8,5.7,5.1,4.2,3.9,3.6,3.5,3.6,,,
"Belgium","Europe","Western Europe","Homicide Rate",1,1,1.2,1.4,1.2,1.4,1.2,1.4,,,2.1,2.7,3.1,2.2,2.6,2.1,2.1,2,1.9,1.7,1.7,1.9,1.8,1.8,1.9,2,1.5,1.7
"Belize","Americas","Central America","Homicide Rate",,,,,,,,,,,16.6,25.1,33.2,24.9,28.6,28.6,31.6,32.5,33.6,30.9,40.1,37.7,43.1,28.8,35,33.1,37.6,37.9
"Benin","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
"Bermuda","Americas","Northern America","Homicide Rate",1.6,4.9,1.6,4.8,9.6,,6.4,3.2,0,3.1,0,4.7,1.5,3.1,1.5,3.1,4.6,4.6,7.7,9.3,10.9,12.6,9.5,8,6.4,6.5,13,8.2
"Bhutan","Asia","Southern Asia","Homicide Rate",3.7,2.2,5.1,3.6,3.9,3.1,2.3,1.3,2,2.3,3.1,3.2,3.1,0.8,2.3,1.7,1.3,2,2.6,2.2,2.2,4.3,4.4,3.1,,1.5,1.1,1.6
"Bolivia (Plurinational State of)","Americas","South America","Homicide Rate",,,,,,,,,,,,,,,,5.2,5.2,8.2,8.6,8.4,12.8,12.3,11.9,9,8.9,6.3,6.3,
"Bonaire, Sint Eustatius and Saba","Americas","Caribbean","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bosnia and Herzegovina","Europe","Southern Europe","Homicide Rate",1.6,,,,,,,,,,2.6,2.2,2.4,,1.8,1.9,1.9,1.7,1.8,1.9,1.5,1.4,1.7,1.3,1.4,1.6,1.3,1.2
"Botswana","Africa","Southern Africa","Homicide Rate",,,,,,,,,,,,12.1,14.3,17.3,14.2,15.7,13.9,14.6,14.4,14.6,15,,,,,,,
"Brazil","Americas","South America","Homicide Rate",19.6,18.5,16.8,17.8,18.7,20.9,21.6,22.2,22.6,22.8,23.7,24.7,25.3,25.7,24,23.3,23.9,23.4,23.8,22.8,22,24.2,26.5,26.8,28.6,28.4,29.7,30.5
"British Virgin Islands","Americas","Caribbean","Homicide Rate",6.1,0,0,0,0,10.9,10.6,,,5,,4.7,4.6,9.1,17.7,,8.4,,,,,,,,,,,
"Brunei Darussalam","Asia","South-Eastern Asia","Homicide Rate",,,,,,,3,2.6,1.3,1.2,1.2,,,0.8,0.6,0.5,0.8,0.8,0.3,0.8,0.3,0.3,1,0.5,,,,
"Bulgaria","Europe","Eastern Europe","Homicide Rate",2.6,4.3,5.3,5.7,5.8,5.9,5.3,4.8,4.7,4.1,4.2,3.9,3.2,3.2,3.2,2.6,2.4,2.3,2.3,2,2,1.7,1.9,1.5,1.6,1.8,1.1,1.5
"Burkina Faso","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,0.6,0.6,0.6,0.5,0.5,0.7,1,0.9,0.8,0.6,0.7,0.7,0.7,0.6,1.1,1.3
"Burundi","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,4.2,4.4,4,3.9,5.4,5.4,5.7,4.5,6,
"Cabo Verde","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,3.3,4.5,9.3,7.3,6,6.9,7.6,7.8,10.4,10.9,10.4,12.3,8.6,11.5,
"Cambodia","Asia","South-Eastern Asia","Homicide Rate",,,4.5,6,2.9,3.7,4.9,2.8,6.8,4.9,4.7,3.3,3.4,4,3.9,3.4,3,2.9,2.4,2.3,2.3,1.8,,,,,,
"Cameroon","Africa","Middle Africa","Homicide Rate",,,,,,,,,,,3,4.8,6.4,6.1,,,,,4.1,6.6,5,4.1,4.2,,1,1.2,1.2,1.4
"Canada","Americas","Northern America","Homicide Rate",2.4,2.7,2.6,2.2,2.1,2,2.1,2,1.9,1.8,1.8,1.8,1.9,1.7,2,2.1,1.9,1.8,1.8,1.8,1.6,1.8,1.6,1.4,1.5,1.7,1.7,1.8
"Cayman Islands","Americas","Caribbean","Homicide Rate",8,7.6,3.6,7,6.7,6.3,3,5.6,2.6,0,9.6,4.6,0,6.5,10.6,6.2,2,3.9,7.6,14.7,16.2,,,8.6,8.4,,,
"Central African Republic","Africa","Middle Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,
"Chad","Africa","Middle Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channel Islands","Europe","Northern Europe","Homicide Rate",,,,,,,,,,,,,,,,0.6,1.3,,0.6,,0,,,,,,,
"Chile","Americas","South America","Homicide Rate",,,,,,,,,,,,,,3.2,,3.6,3.6,3.7,3.5,3.7,3.2,3.7,2.5,3.2,,3.4,3.4,4.3
"China","Asia","Eastern Asia","Homicide Rate",,,,,,2.2,2,2.1,2.1,2,2.1,2,2,1.9,1.9,1.6,1.4,1.2,1.1,1.1,1,0.9,0.8,0.8,0.7,0.7,0.6,0.6
"China, Hong Kong Special Administrative Region","Asia","Eastern Asia","Homicide Rate",2.4,1.6,1.8,1.4,1.6,1.2,1.2,1.6,1,1,0.6,1,1,0.8,0.7,0.5,0.5,0.3,0.5,0.7,0.5,0.2,0.4,0.9,0.4,0.3,0.4,0.3
"China, Macao Special Administrative Region","Asia","Eastern Asia","Homicide Rate",,5.4,1.9,3.5,4,2.1,4.3,7.5,5.9,8.8,2.3,1.8,0.4,1.7,0.8,0.8,2,1.2,0.8,1.1,0.4,0.7,0.7,0.2,0,0.2,0.2,0.3
"China, Taiwan Province of China","Asia","Eastern Asia","Homicide Rate",,,,,,,,,,,,1.4,,,,,1,0.8,0.8,0.8,0.8,,0.8,0.7,,0.8,,
"Colombia","Americas","South America","Homicide Rate",71,81.4,79.3,78.6,73.5,59.6,61.4,60,58.8,61.2,65.7,67.9,68.3,55.8,47.3,41.8,39.9,38.8,35.9,34.8,33.7,34.8,35.1,32.6,27.9,26.5,25.5,24.9
"Comoros","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo","Africa","Middle Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cook Islands","Oceania","Polynesia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,
"Costa Rica","Americas","Central America","Homicide Rate",4.5,4.2,4.9,4.8,5.3,5.2,5.3,5.7,5.9,6.4,6.3,6.4,6.3,7.3,6.7,7.9,8.1,8.4,11.6,11.7,11.6,10.3,8.7,8.7,10,11.6,11.9,12.3
"Cote d'Ivoire","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Croatia","Europe","Southern Europe","Homicide Rate",2.9,9.2,8.2,4.6,3.1,3.6,2.7,2.6,2.3,2.5,2.3,1.8,1.7,1.6,1.9,1.6,1.7,1.4,1.6,1.1,1.4,1.1,1.2,1.1,0.8,0.9,1,1.1
"Cuba","Americas","Caribbean","Homicide Rate",,,6.3,7.4,8.3,7.8,6.7,6.8,7.4,5.5,5.3,5.4,5.9,5.7,5.9,6.1,5.1,5,4.6,5,4.5,4.7,5.5,5.9,5.2,5.4,5,
"Curacao","Americas","Caribbean","Homicide Rate",,,,,,,,,,,,7.7,30.3,33.6,32,20.1,13.6,19.2,,,,,,,,,,
"Cyprus","Asia","Western Asia","Homicide Rate",0.7,0.1,0.2,0.6,0.8,1.1,1.1,0.7,0.8,1.1,0.8,0.7,0.2,1.4,1.6,1.9,1.4,1.2,0.8,1.7,0.7,0.8,1.9,1,1,1.3,1.1,0.6
"Czechia","Europe","Eastern Europe","Homicide Rate",,,,,2,1.7,1.7,1.8,1.7,1.7,1.9,1.3,1.4,1.6,1.3,1.1,1.3,1.2,1.1,0.9,1,0.8,1,0.8,0.8,0.8,0.6,0.6
"Democratic People's Republic of Korea","Asia","Eastern Asia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Democratic Republic of the Congo","Africa","Middle Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Denmark","Europe","Northern Europe","Homicide Rate",0.8,1.3,1.2,1.4,1.4,1.1,1.3,1.7,0.9,1,1.1,1,0.9,1.2,0.8,1,0.5,0.7,1,0.9,0.8,0.8,0.8,0.9,1.3,1.1,1,1.2
"Djibouti","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dominica","Americas","Caribbean","Homicide Rate",,,,,,,,,12.8,10,2.9,1.4,12.9,11.4,11.4,11.3,7.1,9.9,9.8,18.3,21,8.4,,,12.4,12.3,21.8,25.7
"Dominican Republic","Americas","Caribbean","Homicide Rate",,12.4,10.8,12.2,13,12.8,12.9,12.7,13.5,12.6,14.1,12.6,14.5,21.2,24.6,25.9,22.9,22.2,24.8,24.3,25,25.1,22.3,19.2,17.4,,15.2,11.3
"Ecuador","Americas","South America","Homicide Rate",8.7,11,8.7,8.5,10.2,12,12.5,11,13.5,13.6,14.5,12.9,14.6,14.6,17.7,15.4,17.1,16,18,17.9,17.6,15.4,12.5,11,8.2,6.5,5.9,5.8
"Egypt","Africa","Northern Africa","Homicide Rate",0.5,0.5,0.5,0.4,0.4,,,,,,,,,0.6,0.4,0.7,0.7,0.9,1.2,1.1,2.2,3.1,2.5,,,,,
"El Salvador","Americas","Central America","Homicide Rate",,,,,138.4,142.2,119.7,114.8,96.6,66,60.5,60.8,47.7,56.2,64.9,64.4,64.8,57.5,52,71.4,64.7,70.6,41.7,40.2,62.4,105.4,83.1,61.8
"Equatorial Guinea","Africa","Middle Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eritrea","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estonia","Europe","Northern Europe","Homicide Rate",7.5,7.7,14.3,19,20.7,17.2,15.1,12.6,13.9,11.2,10.2,9.8,10.3,10.7,6.7,8.3,6.7,7.1,6.4,5.2,5.3,4.9,4.8,3.9,3.1,3.4,2.5,2.2
"Eswatini","Africa","Southern Africa","Homicide Rate",18.9,19.2,19.2,18.8,16.1,,,,16.1,10.9,12.1,17.1,12.4,12.4,13.3,12.6,11.3,10.6,18.7,15.8,17.3,14,8.3,8,9.1,8.5,8.6,9.5
"Ethiopia","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Falkland Islands (Malvinas)","Americas","South America","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Faroe Islands","Europe","Northern Europe","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fiji","Oceania","Melanesia","Homicide Rate",4.4,2.3,3.5,2,4.6,3.1,1.7,1.6,,,,,,3.1,2.8,2.8,2.7,2.5,2,3.4,2.3,2.3,2.3,2.2,2.3,,,
"Finland","Europe","Northern Europe","Homicide Rate",3,3.1,3.1,2.6,2.9,2.9,3,2.7,2.2,2.8,2.9,3,2.5,2,2.8,2.3,2.3,2.4,2.5,2.2,2.2,2,1.6,1.6,1.6,1.5,1.3,1.2
"France","Europe","Western Europe","Homicide Rate",2.4,2.4,2.3,2.6,2.4,2.3,2,1.6,1.6,1.6,1.8,1.7,1.9,1.6,1.6,1.6,1.4,1.6,1.6,1.3,1.3,1.4,1.2,1.2,1.2,1.6,1.4,1.3
"French Guiana","Americas","South America","Homicide Rate",,,,,,,,,,,,,,,29.6,22.1,19.9,12.9,14.4,13.2,,,,,,,,
"French Polynesia","Oceania","Polynesia","Homicide Rate",,,,,,,,,,,,,,,,,1.2,2.7,3.4,0.4,,,,,,,,
"Gabon","Africa","Middle Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gambia","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Georgia","Asia","Western Asia","Homicide Rate",5,7.8,14.5,16.9,11.3,7.8,5.5,5.8,5,5.1,5.1,5.6,6.3,6.6,6.6,9,7.3,7.5,6.1,4.9,4.4,,,,2.7,,1,
"Germany","Europe","Western Europe","Homicide Rate",1.5,1.7,1.7,1.6,1.7,1.7,1.5,1.4,1.2,1.2,1.2,1.1,1.2,1.1,1.1,1.1,1,0.9,0.9,1,1,0.9,0.8,0.8,0.9,0.8,1.2,1
"Ghana","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,2.2,2,2.1,2.2,1.8,1.9,1.8,1.8,1.8,1.7,1.7,2.2,2.1,2,1.9,1.9,2.1
"Gibraltar","Europe","Southern Europe","Homicide Rate",,,,,,,,,,,,,,,,,,,,0,3,,,,,,,
"Greece","Europe","Southern Europe","Homicide Rate",1,1.3,1.3,1.4,1.2,1.4,1.6,1.9,1.6,1.4,,1.2,0.8,1.1,1,1.2,1,1.1,1.3,1.3,1.5,1.6,1.5,1.4,0.9,0.8,0.8,0.7
"Greenland","Americas","Northern America","Homicide Rate",,,23.3,21.5,10.7,19.7,5.4,19.7,10.7,19.6,23.1,30.2,21.2,8.8,19.3,17.6,14,14.1,14.1,17.6,19.4,1.8,14.2,12.4,7.1,7.1,5.3,
"Grenada","Americas","Caribbean","Homicide Rate",,,,,,,,,,,14.8,5.9,13.7,8.8,5.8,10.7,11.6,10.6,15.4,6.7,9.6,3.8,13.3,5.7,7.5,5.6,10.2,11.1
"Guadeloupe","Americas","Caribbean","Homicide Rate",,,,,,,,,,,,,,,6,5.2,5.4,6.5,7.2,8,,6,6.9,7.8,4.7,8.7,5.1,
"Guam","Oceania","Micronesia","Homicide Rate",,,,,,,,,,,1.3,5.1,1.3,5.1,5.7,4.4,6.9,0.6,0.6,3.1,1.9,2.5,,,,,,
"Guatemala","Americas","Central America","Homicide Rate",,,27.5,32.5,31.8,31.3,34,36.7,29.7,23.3,24.9,27.1,29.7,33.9,35.2,40.8,43.9,42.2,44.9,45.4,40.7,38,33.8,33.7,31.4,29.4,27.3,26.1
"Guinea","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guinea-Bissau","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,4.8,3.8,2.7,3.5,1.1
"Guyana","Americas","South America","Homicide Rate",12.1,25.8,14,15.5,14.2,14.3,11.6,11.4,14.9,12,10.1,10.6,19,27.8,17.4,18.9,20.4,15.4,21.2,15.7,18.8,17.4,18.5,20.4,19.5,19.4,18.4,14.8
"Haiti","Americas","Caribbean","Homicide Rate",,,,,,,,,,,,,,,,,,5.1,5.1,6.1,6.8,9,10,10,9.3,10,9.5,
"Holy See","Europe","Southern Europe","Homicide Rate",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,
"Honduras","Americas","Central America","Homicide Rate",10,13.8,18.2,23.2,30.3,26.9,,,,40.3,48.7,52.1,52.8,57.9,50.5,43.6,41.3,46.5,56.6,65.7,76.1,85.1,84.3,74.3,66.9,57.5,56.5,41.7
"Hungary","Europe","Eastern Europe","Homicide Rate",1.9,3,2.9,2.9,3,2.9,2.6,2.8,2.8,2.5,2,2.5,2,2.2,2.1,1.6,1.7,1.5,1.8,1.4,1.4,1.5,1.3,1.6,1.5,2.3,2.1,2.5
"Iceland","Europe","Northern Europe","Homicide Rate",,,,,0,0,0.4,0.7,0,0.7,1.8,0.4,1.4,0,1,1,0,0.7,0,0.3,0.6,0.9,0.3,0.3,0.6,0.9,0.3,0.9
"India","Asia","Southern Asia","Homicide Rate",5.1,5.5,5.5,5.2,5,4.8,4.8,4.8,4.9,4.6,4.6,4.3,4.2,4,4.1,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.6,3.7,3.4,3.2,
"Indonesia","Asia","South-Eastern Asia","Homicide Rate",,,,,,,,,0.9,1,1,,,0.7,0.6,,,,0.6,0.5,0.4,0.6,0.6,0.5,0.5,0.6,0.5,0.4
"Iran (Islamic Republic of)","Asia","Southern Asia","Homicide Rate",,,,,,,,,,,,,,2.6,2.9,,,,,3,,,,2.6,2.5,,,
"Iraq","Asia","Western Asia","Homicide Rate",6.7,6.5,7.6,5.9,6.5,,,,,,,,,,,,,,15.8,8.5,8.7,8.3,8.2,9.9,,,,
"Iraq (Central Iraq)","Asia","Western Asia","Homicide Rate",,,,,,,,,,,,,,,,,,,17.9,9.6,9.7,9.3,9.2,11.1,10.1,,,
"Iraq (Kurdistan Region)","Asia","Western Asia","Homicide Rate",,,,,,,,,,,,,,,,,,,3.3,2.2,3,2.5,2.1,2.2,,,,
"Ireland","Europe","Northern Europe","Homicide Rate",0.5,0.6,0.7,0.6,0.7,1.2,1.1,1,1,1,1,1.3,1.3,0.9,0.7,1.2,1.4,1.8,1.1,1.2,1.2,0.9,1.1,1.1,1.1,0.7,0.8,0.9
"Isle of Man","Europe","Northern Europe","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,1.2,2.5,2.4,3.6,1.2,0,
"Israel","Asia","Western Asia","Homicide Rate",3.3,2.4,3.1,2.8,2.7,2.1,2.1,2.8,2.5,2.3,2.4,3.6,3.6,3.1,2.7,2.5,2.7,1.8,1.9,1.8,2,2,1.7,,1.5,1.4,,
"Italy","Europe","Southern Europe","Homicide Rate",3.1,3.4,2.6,1.9,1.7,1.8,1.7,1.5,1.6,1.4,1.3,1.2,1.1,1.2,1.2,1,1.1,1.1,1,1,0.9,0.9,0.9,0.8,0.8,0.8,0.7,
"Jamaica","Americas","Caribbean","Homicide Rate",22.4,23.2,25.6,26.4,27.5,30.7,36.1,40.1,32.9,32.4,33.4,42.5,38.8,35.9,53.9,61,48.5,57.1,58,60,51.4,40,38.7,42.1,35.1,42.1,47,57
"Japan","Asia","Eastern Asia","Homicide Rate",0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2
"Jordan","Asia","Western Asia","Homicide Rate",3.4,3.2,3.6,3.9,4.5,0.8,1,0.9,,,,,,,,1.2,1.7,1.8,1.8,1.5,1.6,1.9,2,1.7,1.9,1.6,1.4,1.4
"Kazakhstan","Asia","Central Asia","Homicide Rate",8.9,9.1,11.4,15.8,15.7,15.3,16.6,16.6,16.5,15.7,15.4,14.4,13,13.1,13.6,,,,11.3,10.9,8.5,8.5,7.5,6.5,5.2,4.8,,5
"Kenya","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,3.4,3,3,2.9,3.1,4.7,4.7,5.3,5.4,5.5,5,4.8,4.9,5
"Kiribati","Oceania","Micronesia","Homicide Rate",,0,0,0,0,0,1.3,0,0,0,3.6,4.7,,,,,,,7.1,1,3.9,10.5,7.5,,,,,
"Kosovo under UNSCR 1244","Europe","Southern Europe","Homicide Rate",,,,,,,,,,,,,,,,,,,6.5,4.1,6,3.5,5,2.2,3,2.3,2.1,
"Kuwait","Asia","Western Asia","Homicide Rate",,,,,,,1,,,,,1.8,1.1,1.3,1.9,1.8,1.9,2.4,1.4,1.7,2,1.8,1.8,,,,,
