"Country","Region","Subregion","Indicator","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Kyrgyzstan","Asia","Central Asia","Homicide Rate",13.8,8.3,10.5,12.2,12.1,11.7,11.2,9.3,8.9,8.9,8.7,7.8,8.2,8.4,8.3,9.7,8.7,8,7.9,7.8,16.8,8.5,6.8,5.3,5.5,5.2,4.5,4.2
"Lao People's Democratic Republic","Asia","South-Eastern Asia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Latvia","Europe","Northern Europe","Homicide Rate",,,9.9,15,13.7,11.5,10.8,11.1,10.3,9.5,10,9.3,9.2,8.8,7.9,5.6,5.8,4.3,4.6,5,3.3,3.3,3.4,2.5,3.2,3.4,3.5,4.2
"Lebanon","Asia","Western Asia","Homicide Rate",,,,,,,,,,,,,,,,,,,4.5,3.5,3.8,3.7,3.9,4.5,4.3,3.9,4,
"Lesotho","Africa","Southern Africa","Homicide Rate",32.4,33.6,38.4,39.1,48.1,,,,,,,,,,,,,45.1,37.6,35.8,37.4,34.5,30.7,31.1,,41.2,,
"Liberia","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,,,,2.8,4.8,3.8,3.3,4,3.2,,,,,
"Libya","Africa","Northern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liechtenstein","Europe","Western Europe","Homicide Rate",,,,,0,0,0,0,0,3,0,0,0,0,2.9,0,0,0,2.8,0,2.8,0,0,0,2.7,0,0,
"Lithuania","Europe","Northern Europe","Homicide Rate",4.9,5.8,7.2,11.3,12.7,13.8,11.2,10.9,8.7,8.8,10.6,10.2,8.5,10.1,10.1,11.1,8.7,8.5,9.3,8,7,6.9,6.7,6.6,5.4,5.9,5.2,4.5
"Luxembourg","Europe","Western Europe","Homicide Rate",,,,,1.5,0.5,1,1,0.9,1.4,0.9,2,1.4,0.7,0.4,0.9,1.5,1.5,1.6,1,2,0.8,0,0.2,0.7,0.9,0.9,0.3
"Madagascar","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Malawi","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,6.2,7.7,4.7,2.4,3.2,1.5,6.1,5,5.5,2.2,3.4,2.2,1.7,,,,,
"Malaysia","Asia","South-Eastern Asia","Homicide Rate",1.7,2.1,1.9,1.8,1.7,1.9,2.1,2.5,2.8,2.6,2.4,2.2,2.3,2.3,2,2.4,2.2,2.4,2.2,2,1.9,1.9,2.1,2.1,,,,
"Maldives","Asia","Southern Asia","Homicide Rate",0.4,,,,,0.8,,2.3,,,,2.4,2.7,1.3,,,,0.9,1.4,1.7,1.6,0.8,2.6,0.8,,,,
"Mali","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Malta","Europe","Southern Europe","Homicide Rate",1.1,0.8,1.6,1.9,0.8,,,,1.3,2.5,1,1.5,1.5,0,1.7,1,0,1,1.5,1,1,0.7,2.9,1.7,1.4,0.9,,
"Marshall Islands","Oceania","Micronesia","Homicide Rate",,10.3,4.1,,4,,,,,,,,,,,,,,,,,,,,,,,
"Martinique","Americas","Caribbean","Homicide Rate",,,,,,,,,,,,,,,4.8,4.8,5.8,5.8,4.3,2.8,,,,,,,,
"Mauritania","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mauritius","Africa","Eastern Africa","Homicide Rate",1.9,2.7,2.9,1.9,2.4,2.2,3,2.1,2.7,2,2.2,,,3.2,2.9,3,4.1,3.6,3.9,3.1,2.6,2.7,2.3,2.8,1.5,1.7,1.8,
"Mayotte","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,14.2,2.5,5.9,,,,,,,,
"Mexico","Americas","Central America","Homicide Rate",17,17.4,18.7,17.7,17.2,16.6,15.2,13.9,13.8,12.2,10.6,10,9.7,9.5,8.7,9.1,9.5,7.9,12.3,17.1,22,22.9,21.5,18.8,16.1,16.5,19.3,24.8
"Micronesia (Federated States of)","Oceania","Micronesia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Monaco","Europe","Western Europe","Homicide Rate",,,,,,,,,,,,3.1,,,3,3,2.9,0,0,0,0,0,0,0,,0,,
"Mongolia","Asia","Eastern Asia","Homicide Rate",,,,,,,,,,,,,,13.9,13.3,15.8,13.1,11.3,8.1,8.2,8.8,9.6,7.1,7.1,7.3,6.2,5.7,6.2
"Montenegro","Europe","Southern Europe","Homicide Rate",,,,,,,,,,,,,4.4,3.3,2.3,3.6,4,1.9,3.9,3.4,2.4,3.4,2.7,1.6,3.2,2.7,4.5,2.4
"Montserrat","Americas","Caribbean","Homicide Rate",0,0,18.4,0,9.3,0,10.7,0,14.4,0,0,0,0,0,0,20.9,20.6,,20.4,,,,19.9,,,,,
"Morocco","Africa","Northern Africa","Homicide Rate",0.4,0.5,0.5,0.6,0.7,,,2.6,2,1.9,1.6,1.9,1.6,1.7,1.6,1.5,1.6,1.7,1.3,1.4,1.4,1.3,1.1,1.3,1,1.2,1.7,2.1
"Mozambique","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,5.9,5.4,5.3,5.6,5.2,4.1,3.8,4.4,3.5,3.6,3.4,,,,,,
"Myanmar","Asia","South-Eastern Asia","Homicide Rate",5,,,,,3.7,,,,,2.3,2,1.7,1.6,1.5,1.4,1.6,1.5,1.6,1.8,1.6,2.1,2.8,2.4,2.4,2.2,2.3,
"Namibia","Africa","Southern Africa","Homicide Rate",,,,,,22.5,20.7,18.6,22.5,20.4,20,18.3,17.6,,17.5,,,,16.8,18.2,14.4,13.9,17.1,,,,,
"Nauru","Oceania","Micronesia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nepal","Asia","Southern Asia","Homicide Rate",1.9,,,,,,,2.6,2.8,2.7,2.7,3.5,3.5,3,3.7,3.4,2.4,3.2,3.4,3,3,2.5,2.3,2.2,2,,2.2,
"Netherlands","Europe","Western Europe","Homicide Rate",0.9,1.2,1.3,1.3,1.1,1.2,1.4,1.3,1.1,1.3,1.1,1.3,1.2,1.2,1.2,1.1,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.7,0.7,0.6,0.6,0.8
"New Caledonia","Oceania","Melanesia","Homicide Rate",,,,,,,,,,,,,,,,,3.4,5,4.5,3.2,,,,,,,,
"New Zealand","Oceania","Australia and New Zealand","Homicide Rate",1.9,1.6,1.9,1.2,1.6,1.1,1.3,1.6,1.3,1.2,1.3,1.3,1.5,1.1,1.1,1.5,1.2,1.1,1.2,1.5,1,0.9,0.9,1,0.9,1,1.1,0.7
"Nicaragua","Americas","Central America","Homicide Rate",16.2,17.3,19.1,17.2,16,15.3,14.1,14.2,13.1,11.3,9.5,10.5,10.7,12.1,12.2,13.6,13.2,12.9,13.2,14.2,13.7,12.7,11.5,10,8.7,8.6,7.4,
"Niger","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,4.9,4.4,,,,,
"Nigeria","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Niue","Oceania","Polynesia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Northern Mariana Islands","Oceania","Micronesia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norway","Europe","Northern Europe","Homicide Rate",1.1,1.2,1.1,0.9,0.8,1,1,0.9,0.9,0.7,1.1,0.8,1,1.1,0.8,0.7,0.7,0.6,0.7,0.6,0.6,2.2,0.5,0.9,0.6,0.5,0.5,0.5
"Oman","Asia","Western Asia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.4,0.4,0.5
"Pakistan","Asia","Southern Asia","Homicide Rate",7.6,,,,,,7.2,7.2,7.7,6.9,6.4,6.8,6.5,6.3,6.4,6.4,6.4,6.6,7.4,7.5,7.7,8,7.8,7.7,7.2,5,4.4,4.2
"Palau","Oceania","Micronesia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Panama","Americas","Central America","Homicide Rate",11.3,11.7,12.1,11.7,12,13.8,8.9,11,9.6,9.6,9.9,9.9,11.9,10.5,9.4,10.9,6.5,8.1,14,15.7,12.6,14.8,16.9,17.3,15.5,11.9,10,9.7
"Papua New Guinea","Oceania","Melanesia","Homicide Rate",,,,,,,,,9.5,8.3,8.3,7.6,8,10.1,,9.5,9.4,7.8,8.9,10,10,,,,,,,
"Paraguay","Americas","South America","Homicide Rate",,,,,,,,,,,18.8,24.3,24.9,22.9,21.2,15.3,12.6,13.1,13.8,13.4,11.9,10.4,10.2,9.3,8.8,9.3,8.9,
"Peru","Americas","South America","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,5.4,6.5,6.6,6.7,7.2,7.7,7.7
"Philippines","Asia","South-Eastern Asia","Homicide Rate",15,13.7,12.7,11.6,9.4,,,,7.9,7.5,7.4,7.3,8.1,7.8,7.5,7.5,7.1,6.7,6.4,9.9,9.2,8.9,8.8,9.3,9.7,9.5,11,8.4
"Poland","Europe","Eastern Europe","Homicide Rate",1.8,2.2,2.2,2.4,2.4,2.2,2.3,2.1,2,1.9,2.2,2,1.9,1.7,1.6,1.4,1.3,1.4,0.9,1,1,1.1,1.1,0.8,0.7,0.8,0.7,0.8
"Portugal","Europe","Southern Europe","Homicide Rate",1.6,1.5,1.4,1.4,1.4,1.1,1,1.1,1.2,1.1,1.1,1,1.1,1.4,1.4,1.3,1.5,1.7,1.2,1.2,1.2,1.1,1.2,1.4,0.9,1,0.6,0.7
"Puerto Rico","Americas","Caribbean","Homicide Rate",17.1,23,24.1,26.3,27.2,23.4,23.3,19.3,17.3,15.7,18.3,19.7,20.6,20.8,21.1,20.5,19.9,19.5,21.8,24.2,27.4,31.4,27.2,24.5,19.2,16.7,19.2,18.5
"Qatar","Asia","Western Asia","Homicide Rate",0.8,0.8,1.2,0.8,1,,,,0.4,0.5,0.2,0.8,,,0.7,0.7,0.5,0.8,0.9,0.5,0.2,0.2,0.3,0.4,0.4,,,
"Republic of Korea","Asia","Eastern Asia","Homicide Rate",0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.6,0.8,0.8,0.8,0.9,0.8,0.8,0.9,0.8,0.9,0.9,0.9,1.1,1,0.8,0.9,0.7,0.7,0.7,0.7,0.6
"Republic of Moldova","Europe","Eastern Europe","Homicide Rate",6.6,6.6,11.4,8.9,9.2,9.3,9.3,9.7,8.8,9.3,10.3,9.8,9.6,7.6,6.6,7.1,6.3,5.3,5.7,6,6.5,7.5,5.6,4.2,3.2,,,
"Reunion","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,2.9,3.2,2.4,3,2.2,1.8,,,,,,,,
"Romania","Europe","Eastern Europe","Homicide Rate",3.4,3.5,3.6,3.2,3.4,3.3,3.2,3.1,2.5,2.5,2.6,2.7,2.6,2.5,2.4,2.1,2.1,2,2.3,1.9,2,1.7,1.9,1.7,1.5,1.5,1.2,1.5
"Russian Federation","Europe","Eastern Europe","Homicide Rate",14.3,15.3,22.9,30.4,32.3,30.5,26.4,23.7,22.8,26,28.1,29.4,30.5,28.9,27.3,24.8,20.1,17.7,16.6,14.9,,,11.3,11.2,11.5,11.6,11,9.2
"Rwanda","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,,,3.5,2.8,1.5,,2.8,,2.4,3.2,3.8,2.5,,
"Saint Helena","Africa","Western Africa","Homicide Rate",,,,,0,0,0,0,0,0,0,0,0,0,22.7,0,0,0,0,0,,,,,,,,
"Saint Kitts and Nevis","Americas","Caribbean","Homicide Rate",,,,,,9.3,9.2,16,18.1,13.4,6.6,13,10.7,21.1,22.9,16.5,34.5,32.1,45.7,53.1,40.8,65.4,34.2,,,,,
"Saint Lucia","Americas","Caribbean","Homicide Rate",10.1,7.1,9.9,5.6,6.9,10.9,8.1,8.6,9.1,10.3,14.7,21.5,26.3,22.4,22.8,25,26,17.3,23,22.8,25.5,26.5,22.3,18.8,19.3,15.8,16.9,29.6
"Saint Martin (French Part)","Americas","Caribbean","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,22,5.6,22.5,22.8,17.1,28.5,
"Saint Pierre and Miquelon","Americas","Northern America","Homicide Rate",,,,,,,,,,,,,,,,,0,0,16,15.9,,,,,,,,
"Saint Vincent and the Grenadines","Americas","Caribbean","Homicide Rate",10.2,16.7,16.7,13,12,18.5,22.2,8.3,22.2,13,18.5,11.1,18.5,16.6,26.7,23.9,18.4,36.7,14.7,21.1,22.9,19.2,25.6,,,,36.5,
"Samoa","Oceania","Polynesia","Homicide Rate",,,,,,,,,,,,,,,,,,,,8.7,8.6,,,3.1,,,,
"San Marino","Europe","Southern Europe","Homicide Rate",,,,,,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,,,,,,
"Sao Tome and Principe","Africa","Middle Africa","Homicide Rate",7,6,10.1,6.6,6.5,,,,,,,,,,,,2.5,2.5,8.4,2.9,3.4,3.4,,,,,,
"Saudi Arabia","Asia","Western Asia","Homicide Rate",,,,,,,,,,0.9,0.8,1.1,1.3,1.1,1.3,1.2,1,1,,,,,,,,1.5,,1.3
"Senegal","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Serbia","Europe","Southern Europe","Homicide Rate",,,,,,,,,,,2.4,2.6,2.1,1.9,1.8,1.6,1.7,1.9,1.5,1.7,1.4,1.5,1.2,1.6,1.4,1.2,1.4,1.1
"Seychelles","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,11.4,,10,8.9,6.6,15.4,9.8,17.4,4.3,19.4,17.2,7.5,12.7,
"Sierra Leone","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,2.1,1.7,1.7,2.2,3,2.5,2.5,2.8,1.7,,,1.7,,
"Singapore","Asia","South-Eastern Asia","Homicide Rate",1.6,1.6,1.3,1.8,1.4,1.6,0.9,1,1.1,1,1,0.8,0.8,0.6,0.5,0.5,0.4,0.4,0.6,0.4,0.4,0.3,0.2,0.3,0.3,0.3,0.3,0.2
"Sint Maarten (Dutch part)","Americas","Caribbean","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Slovakia","Europe","Eastern Europe","Homicide Rate",1.8,2.4,,2.6,2.4,2.4,2.5,2.6,2.4,2.6,2.4,2.2,2.2,2.5,2,1.7,1.5,1.5,1.6,1.4,1.5,1.6,1.2,1.3,1.3,0.8,1,1.5
"Slovenia","Europe","Southern Europe","Homicide Rate",2,2,2.4,1.3,2.1,2.2,1.9,1.8,0.7,1.3,1.8,1.4,1.8,1.1,1.4,1,0.6,1.2,0.5,0.6,0.7,0.8,0.7,0.6,0.8,1,0.5,0.9
"Solomon Islands","Oceania","Melanesia","Homicide Rate",,,,,,,,,,,,,,,4.4,5.5,4.8,5.3,3.8,,,,,,,,,
"Somalia","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Africa","Africa","Southern Africa","Homicide Rate",,,,,63,63.9,59.4,56.1,56.6,50.2,47.6,46.1,45.8,41.6,39,38,38.7,36.9,35.9,32.9,30.8,29.8,30.6,31.7,32.6,33.8,34,35.9
"South Sudan","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,13.9,,,,,
"Spain","Europe","Southern Europe","Homicide Rate",1.2,1.1,1.1,1.2,1.1,1,1,1.2,1.3,1.2,1.4,1.4,1.3,1.4,1.2,1.2,1.1,1.1,0.9,0.9,0.9,0.8,0.8,0.6,0.7,0.7,0.6,0.7
"Sri Lanka","Asia","Southern Asia","Homicide Rate",11.5,,,,,8.8,9.7,10,,10.3,,,,6.8,7.1,6.2,10.4,,10,5.5,3.8,3.6,3.3,3,2.7,2.4,2.5,2.3
"State of Palestine","Asia","Western Asia","Homicide Rate",,,,,,1.2,4.4,1.6,1.5,1.7,,,,2.7,2.7,2.4,,,1.2,1.1,0.8,0.6,0.6,0.5,0.8,1,0.7,
"Sudan","Africa","Northern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,4.7,5.2,,,,,,,,,
"Suriname","Americas","South America","Homicide Rate",,,,,,,,,,,14.4,16.5,11.8,12.3,9.3,13.8,12.3,8.8,8.3,,,,,5.3,5.8,6.1,7.3,5.5
"Sweden","Europe","Northern Europe","Homicide Rate",1.1,1.3,1.3,1.2,1.1,1,1.1,1,1,1.1,1.1,1,1.1,0.9,1.2,0.9,1,1.2,0.9,1,1,0.9,0.7,0.9,0.9,1.1,1.1,1.1
"Switzerland","Europe","Western Europe","Homicide Rate",1.6,1.5,1.4,1.5,1.1,1.2,1.2,1.2,1.1,1.2,1,1.2,1.2,1,1.1,1,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.7,0.5,0.7,0.5,0.5
"Syrian Arab Republic","Asia","Western Asia","Homicide Rate",,,,,,,,2,2.2,2.1,2.2,2.2,2.2,2.3,2.4,2.4,2.4,2.7,2.6,2.3,2.2,,,,,,,
"Tajikistan","Asia","Central Asia","Homicide Rate",3.2,2.7,11,23.3,11.2,7.5,8.3,8.4,8.2,5.8,4.6,3.7,2.8,2.5,2.1,2.3,2.8,1.8,1.4,1.3,2.4,1.6,,,,,,
"Thailand","Asia","South-Eastern Asia","Homicide Rate",9.4,9.8,10.3,9.4,8.5,7.6,7.4,7.9,8.7,8.1,8.2,7.9,7.1,10,6.6,7.3,7.1,6.7,6,5.5,5.4,4.9,4.9,4.2,3.9,3.5,3.2,
"The former Yugoslav Republic of Macedonia","Europe","Southern Europe","Homicide Rate",,,,,,,,,2.4,1.9,2.3,2.7,2.9,3.4,2.4,2.1,2.2,2,1.7,1.7,2.1,1.4,1.4,1.1,1.7,1.2,0.9,1.5
"Timor-Leste","Asia","South-Eastern Asia","Homicide Rate",,,,,,,,,,,,,,,2.3,4.5,4.7,5.8,3.2,2.9,3.5,,,,,3.9,,
"Togo","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tokelau","Oceania","Polynesia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tonga","Oceania","Polynesia","Homicide Rate",,,,,,2.1,2.1,2.1,,,1,6.1,6,6,2,4,7.9,1,3.9,7.7,1,1.9,1,,,,,
"Trinidad and Tobago","Americas","Caribbean","Homicide Rate",,,,,,,,,,,9.5,11.9,13.4,17.8,20.1,29.8,28.5,29.9,41.6,38.4,35.6,26.4,28.3,30.2,29.9,30.9,,
"Tunisia","Africa","Northern Africa","Homicide Rate",,,,,,,,,,,,,,,1.9,2.6,2.4,2.7,2.7,2.4,2.7,,3,,,,,
"Turkey","Asia","Western Asia","Homicide Rate",,,,,,,,,,,,,,4.3,4.3,4.9,4.6,5.2,4.6,5.2,4.2,4.2,4.3,,,,,
"Turkmenistan","Asia","Central Asia","Homicide Rate",9,8.1,7.6,8.3,7.5,6.4,7.8,8.2,7.8,7.2,5.9,5.4,5.2,5,4.4,4.3,4.2,,,,,,,,,,,
"Turks and Caicos Islands","Americas","Caribbean","Homicide Rate",0,0,7.7,7.3,13.7,6.5,6.3,12.1,0,0,0,0,9.2,0,,0,,7,6.8,6.6,,,,12.1,5.9,,,
"Tuvalu","Oceania","Polynesia","Homicide Rate",,,,,,,,,,,,,0,0,0,0,0,0,0,0,9.5,9.4,18.6,,,,,
"Uganda","Africa","Eastern Africa","Homicide Rate",,,,,,8.3,8.5,8.8,,,,,,8,7.4,8.7,9.1,8.6,8.8,9.9,9.3,10.7,11.2,10.3,11.5,,10.8,11
"Ukraine","Europe","Eastern Europe","Homicide Rate",5,5.1,6.6,7.2,8.3,8.7,9.7,8.4,8.4,8.6,9,10,9,8.5,7.4,6.5,6.3,5.7,5.3,4.9,4.3,,5.2,,6.3,,,6.2
"United Arab Emirates","Asia","Western Asia","Homicide Rate",,,,,,,,,,,,,,1.2,0.7,1.2,0.7,,,,0.8,0.6,0.8,0.6,0.7,0.7,0.7,0.5
"United Kingdom (England and Wales)","Europe","Northern Europe","Homicide Rate",1.1,1.1,1.3,1.3,1.4,1.5,1.3,1.4,1.5,1.5,1.5,1.5,1.8,1.5,1.5,1.3,1.3,1.3,1.2,1.1,1.1,0.9,1,0.9,0.9,1,1.2,1.2
"United Kingdom (Northern Ireland)","Europe","Northern Europe","Homicide Rate",6.3,7.1,6.7,6.2,5,1.3,2.1,2.4,4.5,2,2.7,3.4,2.2,2.5,2,1.8,1.7,1.6,1.3,1.6,1.3,1.2,1.2,1.1,0.9,1.2,1,1.3
"United Kingdom (Scotland)","Europe","Northern Europe","Homicide Rate",1.5,1.3,2.2,2.2,2.1,2.4,2.5,1.7,1.9,2.4,2.1,2.3,2.5,2.2,2.7,1.9,2.3,2.2,1.9,1.6,1.9,1.8,1.2,1.2,1.2,1.1,1.2,1.1
"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe","Homicide Rate",1.2,1.3,1.5,1.5,1.6,1.6,1.4,1.5,1.6,1.6,1.6,1.6,1.9,1.6,1.6,1.4,1.4,1.4,1.2,1.1,1.2,1,1,0.9,0.9,1,1.2,1.2
"United Republic of Tanzania","Africa","Eastern Africa","Homicide Rate",,,,,,7,7.4,7.4,,,,,,7.5,7.6,,,,,,8.4,8.7,8.3,7.3,7.5,7,6.2,
"United States of America","Americas","Northern America","Homicide Rate",9.3,9.7,9.2,9.4,8.9,8.1,7.3,6.7,6.2,5.6,5.5,6.7,5.6,5.7,5.5,5.7,5.8,5.7,5.4,5,4.8,4.7,4.7,4.5,4.5,5,5.4,5.3
"United States Virgin Islands","Americas","Caribbean","Homicide Rate",,,,,,,,27.7,23,24.8,21.2,25.8,37.8,28.6,34.2,34.3,40,40.1,43.1,47,52.8,42.5,49.3,,,,,
"Uruguay","Americas","South America","Homicide Rate",6.6,6.2,5.8,,,5.9,6.3,7.4,7.4,6.5,6.4,6.6,6.9,5.9,6,5.7,6.1,5.8,6.6,6.7,6.1,5.9,7.9,7.6,7.8,8.5,7.8,8.2
"Uzbekistan","Asia","Central Asia","Homicide Rate",5.5,5.1,5.3,5.2,5.4,5.1,4.9,4.4,4.4,4.1,4.3,4.3,4.1,3.7,3.7,3.4,3.2,3,3,,,,,,1.5,1.6,1.4,1.1
"Vanuatu","Oceania","Melanesia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venezuela (Bolivarian Republic of)","Americas","South America","Homicide Rate",12.5,12.3,15.7,20.2,21.8,20.2,21.9,18.3,19.3,24.9,32.8,31.9,37.8,43.8,36.9,37.2,45,47.5,51.8,48.9,45.1,47.8,53.8,,61.9,,56.3,
"Viet Nam","Asia","South-Eastern Asia","Homicide Rate",,,,,,,,,,,,1.2,1.3,1.3,1.3,1.2,1.2,1.4,1.3,1.4,1.5,1.5,,,,,,
"Wallis and Futuna Islands","Oceania","Polynesia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Western Sahara","Africa","Northern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen","Asia","Western Asia","Homicide Rate",,,,,,,,,3.6,5.9,3.9,,,3.6,3.2,4.6,4.2,3.9,3.9,4.3,4.7,5.7,6.5,6.7,,,,
"Zambia","Africa","Eastern Africa","Homicide Rate",6.9,8.3,9.1,8.6,9.3,,,,8.8,10.5,7.6,,,,,,,,5.3,6,5.9,6,6,5.7,5.3,5.3,,
"Zimbabwe","Africa","Eastern Africa","Homicide Rate",5.8,,,,,,,,,,,12.4,13,10.8,10.6,10.4,8.2,,,,5,,6.7,,,,,
