,,,,,, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040
INCOMELT190LN[1],Afghanistan,,,Mil People,Base,          12.68,          13.42,          13.47,          14.96,          15.30,          15.41,          15.40,          15.71,          16.36,          16.88,          17.26,          17.51,          17.65,          17.70,          17.69,          17.62,          17.49,          17.31,          17.08,          16.76,          16.36,          15.96,          15.58,          15.20
INCOMELT190LN[1],Albania,,,Mil People,Base,          0.037,          0.032,          0.029,          0.035,          0.031,          0.028,          0.027,          0.027,          0.025,          0.023,          0.021,          0.019,          0.017,          0.016,          0.016,          0.015,          0.014,          0.014,          0.012,          0.011,          0.010,          0.009,          0.008,          0.007
INCOMELT190LN[1],Algeria,,,Mil People,Base,          0.136,          0.137,          0.122,          0.123,          0.116,          0.129,          0.172,          0.156,          0.203,          0.245,          0.274,          0.284,          0.274,          0.253,          0.230,          0.210,          0.195,          0.182,          0.170,          0.156,          0.140,          0.122,          0.105,          0.089
INCOMELT190LN[1],Angola,,,Mil People,Base,          13.61,          14.58,          15.56,          16.87,          17.88,          18.59,          19.50,          19.00,          19.74,          20.16,          20.50,          20.78,          21.04,          21.28,          21.53,          21.80,          22.10,          22.40,          22.64,          22.84,          22.99,          23.13,          23.25,          23.38
INCOMELT190LN[1],Argentina,,,Mil People,Base,          1.476,          1.553,          1.741,          2.110,          2.144,          2.166,          2.209,          1.880,          1.939,          1.958,          1.962,          1.946,          1.911,          1.859,          1.795,          1.723,          1.648,          1.574,          1.491,          1.418,          1.356,          1.303,          1.254,          1.207
INCOMELT190LN[1],Armenia,,,Mil People,Base,          0.026,          0.022,          0.018,          0.025,          0.022,          0.022,          0.021,          0.019,          0.017,          0.016,          0.014,          0.013,          0.013,          0.012,          0.011,          0.010,          0.009,          0.008,          0.007,          0.006,          0.005,          0.005,          0.004,          0.004
INCOMELT190LN[1],Australia,,,Mil People,Base,          0.123,          0.117,          0.112,          0.112,          0.105,          0.094,          0.089,          0.083,          0.080,          0.077,          0.072,          0.068,          0.063,          0.059,          0.054,          0.050,          0.045,          0.041,          0.038,          0.034,          0.032,          0.029,          0.026,          0.024
INCOMELT190LN[1],Austria,,,Mil People,Base,          0.028,          0.027,          0.025,          0.025,          0.027,          0.031,          0.032,          0.025,          0.022,          0.019,          0.016,          0.014,          0.013,          0.011,          0.010,          0.009,          0.007,          0.006,          0.006,          0.005,          0.004,          0.004,          0.003,          0.003
INCOMELT190LN[1],Azerbaijan,,,Mil People,Base,          0.001,          0.012,          0.010,          0.009,          0.007,          0.005,          0.005,          0.002,          0.002,          0.001,          0.001,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000
INCOMELT190LN[1],Bahamas,,,Mil People,Base,         0.0000,         0.0004,         0.0004,         0.0009,         0.0010,         0.0009,         0.0010,         0.0008,         0.0006,         0.0005,         0.0005,         0.0005,         0.0005,         0.0005,         0.0005,         0.0006,         0.0006,         0.0005,         0.0005,         0.0005,         0.0005,         0.0005,         0.0004,         0.0004
INCOMELT190LN[1],Bahrain,,,Mil People,Base,          0.000,          0.002,          0.002,          0.003,          0.003,          0.003,          0.005,          0.002,          0.001,          0.001,          0.001,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000
INCOMELT190LN[1],Bangladesh,,,Mil People,Base,          18.38,          15.74,          13.39,          13.44,          12.75,          11.55,          10.30,          10.05,          8.911,          7.930,          7.069,          6.320,          5.675,          5.105,          4.606,          4.173,          3.791,          3.439,          3.121,          2.821,          2.539,          2.278,          2.034,          1.806
INCOMELT190LN[1],Barbados,,,Mil People,Base,          0.015,          0.015,          0.014,          0.023,          0.020,          0.017,          0.015,          0.014,          0.013,          0.011,          0.011,          0.010,          0.009,          0.009,          0.008,          0.008,          0.007,          0.007,          0.007,          0.006,          0.006,          0.005,          0.005,          0.005
INCOMELT190LN[1],Belarus,,,Mil People,Base,          0.004,          0.011,          0.009,          0.008,          0.008,          0.007,          0.007,          0.005,          0.004,          0.004,          0.003,          0.002,          0.002,          0.001,          0.001,          0.001,          0.001,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000
INCOMELT190LN[1],Belgium,,,Mil People,Base,          0.015,          0.014,          0.013,          0.016,          0.019,          0.021,          0.020,          0.017,          0.014,          0.011,          0.009,          0.008,          0.007,          0.006,          0.005,          0.004,          0.004,          0.003,          0.003,          0.003,          0.003,          0.002,          0.002,          0.002
INCOMELT190LN[1],Belize,,,Mil People,Base,          0.051,          0.052,          0.052,          0.067,          0.068,          0.071,          0.074,          0.073,          0.072,          0.069,          0.067,          0.066,          0.066,          0.065,          0.064,          0.063,          0.061,          0.060,          0.059,          0.058,          0.057,          0.056,          0.054,          0.053
INCOMELT190LN[1],Benin,,,Mil People,Base,          5.340,          5.319,          5.318,          5.515,          5.597,          5.616,          5.649,          5.931,          5.965,          6.003,          6.029,          6.050,          6.071,          6.094,          6.112,          6.127,          6.143,          6.157,          6.166,          6.163,          6.145,          6.112,          6.061,          5.993
INCOMELT190LN[1],Bhutan,,,Mil People,Base,          0.012,          0.010,          0.008,          0.008,          0.008,          0.008,          0.009,          0.009,          0.008,          0.008,          0.008,          0.008,          0.007,          0.007,          0.006,          0.005,          0.005,          0.004,          0.004,          0.004,          0.003,          0.003,          0.003,          0.003
INCOMELT190LN[1],Bolivia,,,Mil People,Base,          0.646,          0.623,          0.595,          0.667,          0.665,          0.679,          0.677,          0.654,          0.615,          0.568,          0.521,          0.483,          0.455,          0.432,          0.411,          0.387,          0.358,          0.324,          0.288,          0.258,          0.233,          0.212,          0.193,          0.174
INCOMELT190LN[1],Bosnia and Herzegovina,,,Mil People,Base,          0.002,          0.004,          0.004,          0.007,          0.010,          0.014,          0.021,          0.024,          0.036,          0.052,          0.067,          0.071,          0.074,          0.076,          0.080,          0.072,          0.060,          0.051,          0.045,          0.040,          0.035,          0.031,          0.028,          0.025
INCOMELT190LN[1],Botswana,,,Mil People,Base,          0.308,          0.300,          0.294,          0.353,          0.340,          0.355,          0.367,          0.384,          0.376,          0.368,          0.352,          0.329,          0.304,          0.279,          0.259,          0.242,          0.227,          0.215,          0.204,          0.195,          0.188,          0.180,          0.172,          0.164
INCOMELT190LN[1],Brazil,,,Mil People,Base,          9.183,          9.044,          8.993,          9.069,          8.950,          8.789,          8.712,          8.207,          8.027,          7.743,          7.425,          7.089,          6.747,          6.406,          6.066,          5.733,          5.404,          5.083,          4.768,          4.458,          4.165,          3.896,          3.629,          3.380
INCOMELT190LN[1],Brunei Darussalam,,,Mil People,Base,         0.0000,         0.0004,         0.0003,         0.0003,         0.0002,         0.0002,         0.0002,         0.0001,         0.0001,         0.0001,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000
INCOMELT190LN[1],Bulgaria,,,Mil People,Base,          0.097,          0.088,          0.077,          0.078,          0.076,          0.072,          0.067,          0.061,          0.056,          0.050,          0.045,          0.040,          0.036,          0.032,          0.029,          0.026,          0.024,          0.022,          0.021,          0.019,          0.018,          0.017,          0.016,          0.015
INCOMELT190LN[1],Burkina Faso,,,Mil People,Base,          7.370,          7.097,          6.965,          7.383,          7.315,          7.119,          7.013,          7.145,          6.984,          6.827,          6.678,          6.541,          6.412,          6.289,          6.162,          6.033,          5.902,          5.768,          5.626,          5.485,          5.347,          5.218,          5.094,          4.971
INCOMELT190LN[1],Burundi,,,Mil People,Base,          8.476,          8.807,          9.143,          9.552,          9.888,          10.12,          10.33,          10.52,          10.77,          11.01,          11.25,          11.46,          11.65,          11.81,          11.95,          12.10,          12.24,          12.40,          12.57,          12.73,          12.88,          13.01,          13.15,          13.31
INCOMELT190LN[1],Cabo Verde,,,Mil People,Base,          0.015,          0.014,          0.013,          0.021,          0.022,          0.024,          0.022,          0.021,          0.019,          0.017,          0.017,          0.017,          0.017,          0.017,          0.017,          0.016,          0.016,          0.015,          0.015,          0.015,          0.015,          0.014,          0.014,          0.014
INCOMELT190LN[1],Cambodia,,,Mil People,Base,          4.037,          3.628,          3.214,          3.573,          3.760,          3.529,          3.260,          3.024,          2.706,          2.426,          2.190,          1.989,          1.809,          1.641,          1.470,          1.311,          1.166,          1.034,          0.915,          0.807,          0.710,          0.621,          0.541,          0.467
INCOMELT190LN[1],Cameroon,,,Mil People,Base,          5.814,          5.859,          5.961,          6.289,          6.421,          6.388,          6.361,          6.460,          6.464,          6.458,          6.466,          6.496,          6.539,          6.587,          6.624,          6.636,          6.630,          6.613,          6.591,          6.563,          6.529,          6.486,          6.429,          6.353
INCOMELT190LN[1],Canada,,,Mil People,Base,          0.091,          0.088,          0.085,          0.092,          0.090,          0.090,          0.085,          0.080,          0.078,          0.076,          0.075,          0.074,          0.072,          0.071,          0.069,          0.067,          0.065,          0.064,          0.062,          0.061,          0.059,          0.057,          0.055,          0.053
INCOMELT190LN[1],Central African Republic,,,Mil People,Base,          3.326,          3.337,          3.378,          3.485,          3.618,          3.711,          3.790,          3.884,          3.962,          4.037,          4.130,          4.234,          4.341,          4.443,          4.535,          4.621,          4.706,          4.792,          4.879,          4.968,          5.059,          5.150,          5.238,          5.323
INCOMELT190LN[1],Chad,,,Mil People,Base,          6.134,          6.381,          6.516,          7.001,          7.422,          7.715,          8.088,          7.994,          8.198,          8.281,          8.375,          8.497,          8.647,          8.808,          8.966,          9.111,          9.242,          9.360,          9.465,          9.559,          9.643,          9.714,          9.770,          9.809
INCOMELT190LN[1],Chile,,,Mil People,Base,          0.053,          0.051,          0.051,          0.056,          0.051,          0.050,          0.047,          0.041,          0.039,          0.037,          0.035,          0.033,          0.031,          0.030,          0.028,          0.026,          0.025,          0.023,          0.021,          0.019,          0.017,          0.016,          0.015,          0.014
INCOMELT190LN[1],China,,,Mil People,Base,          5.595,          4.372,          3.365,          2.832,          2.099,          1.746,          1.433,          1.094,          0.931,          0.786,          0.648,          0.518,          0.402,          0.306,          0.230,          0.174,          0.134,          0.104,          0.082,          0.065,          0.053,          0.042,          0.034,          0.027
INCOMELT190LN[1],Colombia,,,Mil People,Base,          1.970,          2.037,          2.160,          2.413,          2.299,          2.235,          2.109,          1.847,          1.737,          1.661,          1.613,          1.588,          1.573,          1.557,          1.538,          1.517,          1.495,          1.475,          1.454,          1.432,          1.408,          1.380,          1.352,          1.331
INCOMELT190LN[1],Comoros,,,Mil People,Base,          0.152,          0.154,          0.158,          0.159,          0.164,          0.162,          0.164,          0.166,          0.168,          0.169,          0.169,          0.169,          0.168,          0.168,          0.167,          0.166,          0.165,          0.164,          0.162,          0.160,          0.158,          0.155,          0.152,          0.149
INCOMELT190LN[1],Congo,,,Mil People,Base,          2.073,          2.345,          2.357,          2.664,          2.775,          2.919,          3.190,          3.265,          3.205,          3.049,          2.922,          2.827,          2.736,          2.630,          2.526,          2.405,          2.256,          2.081,          1.919,          1.870,          1.777,          1.681,          1.584,          1.487
INCOMELT190LN[1],Congo; Dem. Republic of the,,,Mil People,Base,          59.14,          60.48,          61.90,          64.80,          66.62,          67.73,          68.53,          70.46,          71.57,          72.52,          73.20,          73.58,          73.72,          73.65,          73.39,          72.87,          72.12,          71.27,          70.39,          69.45,          68.44,          67.33,          66.08,          64.68
INCOMELT190LN[1],Costa Rica,,,Mil People,Base,          0.052,          0.051,          0.049,          0.056,          0.051,          0.048,          0.046,          0.043,          0.040,          0.037,          0.034,          0.032,          0.030,          0.028,          0.026,          0.024,          0.022,          0.021,          0.019,          0.018,          0.017,          0.015,          0.014,          0.013
INCOMELT190LN[1],Cote D'Ivoire,,,Mil People,Base,          6.090,          5.870,          5.717,          5.903,          5.803,          5.633,          5.503,          5.787,          5.644,          5.535,          5.444,          5.362,          5.289,          5.219,          5.147,          5.078,          5.015,          4.955,          4.891,          4.823,          4.746,          4.660,          4.559,          4.442
INCOMELT190LN[1],Croatia,,,Mil People,Base,          0.022,          0.019,          0.015,          0.014,          0.013,          0.013,          0.011,          0.009,          0.007,          0.005,          0.004,          0.003,          0.003,          0.002,          0.002,          0.001,          0.001,          0.001,          0.001,          0.001,          0.001,          0.001,          0.001,          0.001
INCOMELT190LN[1],Cuba,,,Mil People,Base,          0.225,          0.211,          0.208,          0.210,          0.206,          0.197,          0.204,          0.173,          0.195,          0.184,          0.170,          0.153,          0.135,          0.119,          0.104,          0.092,          0.083,          0.076,          0.071,          0.067,          0.064,          0.061,          0.058,          0.054
INCOMELT190LN[1],Cyprus,,,Mil People,Base,         0.0004,         0.0013,         0.0010,         0.0012,         0.0011,         0.0011,         0.0010,         0.0011,         0.0009,         0.0008,         0.0007,         0.0006,         0.0006,         0.0005,         0.0005,         0.0005,         0.0004,         0.0004,         0.0004,         0.0004,         0.0003,         0.0003,         0.0003,         0.0002
INCOMELT190LN[1],Czech Republic,,,Mil People,Base,          0.000,          0.012,          0.011,          0.012,          0.013,          0.015,          0.017,          0.014,          0.012,          0.010,          0.009,          0.008,          0.007,          0.006,          0.005,          0.005,          0.004,          0.004,          0.003,          0.003,          0.003,          0.002,          0.002,          0.002
INCOMELT190LN[1],Denmark,,,Mil People,Base,          0.008,          0.007,          0.006,          0.005,          0.005,          0.004,          0.004,          0.004,          0.003,          0.002,          0.002,          0.001,          0.001,          0.001,          0.001,          0.001,          0.001,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000
INCOMELT190LN[1],Djibouti,,,Mil People,Base,          0.161,          0.142,          0.135,          0.157,          0.165,          0.174,          0.178,          0.182,          0.170,          0.158,          0.150,          0.146,          0.145,          0.144,          0.142,          0.136,          0.128,          0.119,          0.111,          0.105,          0.100,          0.096,          0.092,          0.088
INCOMELT190LN[1],Dominican Republic,,,Mil People,Base,          0.073,          0.063,          0.059,          0.074,          0.060,          0.053,          0.048,          0.043,          0.039,          0.035,          0.032,          0.029,          0.026,          0.024,          0.021,          0.019,          0.017,          0.016,          0.014,          0.012,          0.011,          0.010,          0.009,          0.008
INCOMELT190LN[1],Ecuador,,,Mil People,Base,          0.541,          0.565,          0.607,          0.714,          0.743,          0.747,          0.777,          0.575,          0.518,          0.456,          0.401,          0.351,          0.308,          0.273,          0.246,          0.221,          0.202,          0.188,          0.175,          0.163,          0.151,          0.138,          0.124,          0.113
INCOMELT190LN[1],Egypt,,,Mil People,Base,          2.866,          2.738,          2.787,          2.942,          3.128,          3.208,          3.293,          3.508,          3.605,          3.718,          3.820,          3.904,          3.973,          4.015,          4.027,          4.009,          3.967,          3.918,          3.864,          3.791,          3.707,          3.622,          3.517,          3.396
INCOMELT190LN[1],El Salvador,,,Mil People,Base,          0.122,          0.116,          0.107,          0.135,          0.107,          0.101,          0.100,          0.103,          0.096,          0.089,          0.082,          0.077,          0.072,          0.068,          0.064,          0.061,          0.057,          0.053,          0.050,          0.047,          0.044,          0.041,          0.038,          0.036
INCOMELT190LN[1],Equatorial Guinea,,,Mil People,Base,          0.015,          0.019,          0.024,          0.031,          0.032,          0.038,          0.042,          0.032,          0.034,          0.033,          0.032,          0.032,          0.031,          0.030,          0.028,          0.026,          0.024,          0.022,          0.020,          0.018,          0.017,          0.015,          0.014,          0.013
INCOMELT190LN[1],Eritrea,,,Mil People,Base,          1.286,          1.141,          1.117,          1.180,          1.294,          1.403,          1.518,          1.573,          1.538,          1.472,          1.411,          1.363,          1.319,          1.276,          1.234,          1.193,          1.159,          1.131,          1.109,          1.089,          1.067,          1.013,          0.949,          0.885
INCOMELT190LN[1],Estonia,,,Mil People,Base,          0.004,          0.003,          0.003,          0.004,          0.003,          0.004,          0.004,          0.004,          0.004,          0.004,          0.003,          0.002,          0.002,          0.001,          0.001,          0.001,          0.001,          0.001,          0.001,          0.000,          0.000,          0.000,          0.000,          0.000
INCOMELT190LN[1],Eswatini,,,Mil People,Base,          0.322,          0.317,          0.311,          0.323,          0.323,          0.321,          0.324,          0.319,          0.312,          0.300,          0.287,          0.276,          0.266,          0.257,          0.250,          0.244,          0.238,          0.232,          0.226,          0.219,          0.213,          0.207,          0.200,          0.193
INCOMELT190LN[1],Ethiopia,,,Mil People,Base,          27.93,          26.39,          24.70,          25.59,          26.58,          25.26,          24.54,          24.65,          23.45,          22.18,          20.99,          19.95,          19.05,          18.16,          17.27,          16.37,          15.48,          14.67,          13.88,          13.07,          12.22,          11.36,          10.49,          9.620
INCOMELT190LN[1],Fiji,,,Mil People,Base,          0.002,          0.002,          0.002,          0.005,          0.006,          0.006,          0.006,          0.006,          0.006,          0.005,          0.006,          0.006,          0.007,          0.008,          0.009,          0.010,          0.010,          0.011,          0.011,          0.012,          0.012,          0.012,          0.012,          0.011
INCOMELT190LN[1],Finland,,,Mil People,Base,          0.004,          0.007,          0.006,          0.006,          0.005,          0.005,          0.004,          0.004,          0.003,          0.003,          0.003,          0.003,          0.003,          0.003,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.001,          0.001
INCOMELT190LN[1],France,,,Mil People,Base,          0.009,          0.079,          0.075,          0.071,          0.079,          0.082,          0.075,          0.063,          0.057,          0.051,          0.046,          0.042,          0.038,          0.035,          0.032,          0.029,          0.027,          0.025,          0.024,          0.022,          0.021,          0.020,          0.019,          0.017
INCOMELT190LN[1],Gabon,,,Mil People,Base,          0.070,          0.074,          0.071,          0.076,          0.071,          0.061,          0.055,          0.045,          0.041,          0.037,          0.033,          0.029,          0.026,          0.023,          0.020,          0.018,          0.016,          0.015,          0.014,          0.013,          0.013,          0.012,          0.012,          0.012
INCOMELT190LN[1],Gambia,,,Mil People,Base,          0.224,          0.207,          0.193,          0.221,          0.225,          0.215,          0.210,          0.225,          0.200,          0.176,          0.156,          0.139,          0.126,          0.115,          0.106,          0.097,          0.089,          0.080,          0.072,          0.063,          0.054,          0.047,          0.040,          0.035
INCOMELT190LN[1],Georgia,,,Mil People,Base,          0.199,          0.178,          0.154,          0.184,          0.158,          0.139,          0.124,          0.110,          0.098,          0.087,          0.076,          0.067,          0.059,          0.053,          0.047,          0.041,          0.036,          0.031,          0.027,          0.023,          0.020,          0.017,          0.015,          0.013
