,,,,,, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040
INCOMELT190LN[1],Norway,,,Mil People,Base,          0.013,          0.012,          0.010,          0.010,          0.010,          0.010,          0.009,          0.009,          0.007,          0.006,          0.005,          0.004,          0.004,          0.003,          0.003,          0.002,          0.002,          0.002,          0.002,          0.001,          0.001,          0.001,          0.001,          0.001
INCOMELT190LN[1],Oman,,,Mil People,Base,          0.000,          0.005,          0.005,          0.006,          0.006,          0.006,          0.006,          0.006,          0.005,          0.005,          0.005,          0.004,          0.003,          0.002,          0.002,          0.002,          0.001,          0.001,          0.001,          0.001,          0.001,          0.001,          0.001,          0.001
INCOMELT190LN[1],Pakistan,,,Mil People,Base,          4.859,          4.429,          4.647,          4.954,          5.182,          5.130,          5.254,          5.651,          5.790,          5.889,          5.955,          6.005,          6.049,          6.091,          6.131,          6.158,          6.203,          6.263,          6.320,          6.351,          6.337,          6.296,          6.227,          6.135
INCOMELT190LN[1],Palestine,,,Mil People,Base,          0.042,          0.047,          0.053,          0.091,          0.094,          0.093,          0.101,          0.093,          0.104,          0.111,          0.117,          0.122,          0.124,          0.124,          0.122,          0.119,          0.114,          0.108,          0.102,          0.097,          0.093,          0.090,          0.087,          0.083
INCOMELT190LN[1],Panama,,,Mil People,Base,          0.104,          0.101,          0.099,          0.127,          0.118,          0.123,          0.127,          0.114,          0.109,          0.103,          0.099,          0.096,          0.094,          0.093,          0.092,          0.090,          0.088,          0.086,          0.084,          0.082,          0.079,          0.077,          0.074,          0.071
INCOMELT190LN[1],Papua New Guinea,,,Mil People,Base,          2.220,          2.297,          2.152,          2.274,          2.232,          2.142,          2.081,          1.932,          1.796,          1.637,          1.488,          1.358,          1.245,          1.143,          1.053,          0.976,          0.912,          0.861,          0.824,          0.798,          0.781,          0.770,          0.763,          0.759
INCOMELT190LN[1],Paraguay,,,Mil People,Base,          0.070,          0.067,          0.067,          0.070,          0.065,          0.061,          0.057,          0.053,          0.051,          0.049,          0.045,          0.042,          0.038,          0.035,          0.032,          0.030,          0.027,          0.025,          0.023,          0.022,          0.020,          0.019,          0.018,          0.016
INCOMELT190LN[1],Peru,,,Mil People,Base,          1.076,          1.085,          1.147,          1.410,          1.346,          1.345,          1.251,          1.116,          1.010,          0.961,          0.919,          0.883,          0.850,          0.816,          0.777,          0.735,          0.693,          0.653,          0.618,          0.585,          0.557,          0.532,          0.510,          0.490
INCOMELT190LN[1],Philippines,,,Mil People,Base,          5.569,          5.255,          5.181,          6.516,          7.039,          7.457,          7.504,          7.434,          7.441,          7.506,          7.612,          7.744,          7.889,          8.011,          8.114,          8.190,          8.233,          8.259,          8.263,          8.267,          8.293,          8.329,          8.358,          8.349
INCOMELT190LN[1],Poland,,,Mil People,Base,          0.128,          0.101,          0.083,          0.069,          0.064,          0.059,          0.051,          0.040,          0.032,          0.025,          0.020,          0.016,          0.013,          0.011,          0.009,          0.008,          0.007,          0.006,          0.005,          0.004,          0.004,          0.003,          0.003,          0.002
INCOMELT190LN[1],Portugal,,,Mil People,Base,          0.042,          0.038,          0.035,          0.032,          0.030,          0.031,          0.030,          0.026,          0.022,          0.019,          0.017,          0.015,          0.014,          0.013,          0.012,          0.011,          0.010,          0.009,          0.008,          0.007,          0.007,          0.006,          0.005,          0.005
INCOMELT190LN[1],Puerto Rico,,,Mil People,Base,         0.0000,         0.0028,         0.0022,         0.0020,         0.0017,         0.0015,         0.0016,         0.0012,         0.0010,         0.0007,         0.0005,         0.0004,         0.0003,         0.0002,         0.0001,         0.0001,         0.0001,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000
INCOMELT190LN[1],Qatar,,,Mil People,Base,          0.000,          0.003,          0.003,          0.003,          0.003,          0.003,          0.003,          0.002,          0.002,          0.001,          0.001,          0.001,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000
INCOMELT190LN[1],Romania,,,Mil People,Base,          0.604,          0.513,          0.446,          0.433,          0.399,          0.364,          0.331,          0.297,          0.273,          0.251,          0.230,          0.212,          0.197,          0.182,          0.168,          0.155,          0.145,          0.135,          0.125,          0.117,          0.109,          0.100,          0.092,          0.084
INCOMELT190LN[1],Russian Federation,,,Mil People,Base,          0.063,          0.176,          0.157,          0.144,          0.137,          0.133,          0.123,          0.105,          0.093,          0.081,          0.071,          0.062,          0.054,          0.048,          0.042,          0.037,          0.033,          0.030,          0.027,          0.025,          0.023,          0.021,          0.020,          0.019
INCOMELT190LN[1],Rwanda,,,Mil People,Base,          6.729,          6.574,          6.407,          7.070,          7.286,          7.241,          7.140,          7.280,          7.197,          7.151,          7.117,          7.084,          7.049,          7.008,          6.952,          6.878,          6.781,          6.665,          6.532,          6.385,          6.225,          6.051,          5.867,          5.674
INCOMELT190LN[1],Samoa,,,Mil People,Base,         0.0011,         0.0012,         0.0010,         0.0011,         0.0013,         0.0013,         0.0013,         0.0011,         0.0011,         0.0010,         0.0010,         0.0009,         0.0008,         0.0008,         0.0007,         0.0007,         0.0006,         0.0006,         0.0006,         0.0006,         0.0005,         0.0005,         0.0005,         0.0005
INCOMELT190LN[1],Sao Tome and Principe,,,Mil People,Base,          0.074,          0.075,          0.077,          0.080,          0.083,          0.084,          0.085,          0.088,          0.090,          0.092,          0.093,          0.094,          0.095,          0.097,          0.099,          0.101,          0.103,          0.106,          0.108,          0.110,          0.111,          0.112,          0.113,          0.113
INCOMELT190LN[1],Saudi Arabia,,,Mil People,Base,          0.000,          0.032,          0.033,          0.040,          0.040,          0.036,          0.034,          0.025,          0.022,          0.018,          0.016,          0.013,          0.011,          0.009,          0.008,          0.007,          0.006,          0.006,          0.005,          0.005,          0.005,          0.004,          0.004,          0.003
INCOMELT190LN[1],Senegal,,,Mil People,Base,          4.738,          4.643,          4.678,          4.989,          5.107,          5.028,          4.644,          4.992,          4.792,          4.667,          4.557,          4.445,          4.308,          4.151,          3.978,          3.791,          3.594,          3.391,          3.188,          2.986,          2.785,          2.592,          2.404,          2.222
INCOMELT190LN[1],Serbia,,,Mil People,Base,          0.477,          0.424,          0.378,          0.350,          0.318,          0.288,          0.245,          0.224,          0.198,          0.177,          0.156,          0.137,          0.121,          0.108,          0.097,          0.087,          0.079,          0.073,          0.067,          0.062,          0.058,          0.054,          0.050,          0.047
INCOMELT190LN[1],Seychelles,,,Mil People,Base,         0.0009,         0.0009,         0.0008,         0.0011,         0.0010,         0.0009,         0.0008,         0.0009,         0.0009,         0.0009,         0.0008,         0.0007,         0.0006,         0.0005,         0.0005,         0.0005,         0.0004,         0.0004,         0.0004,         0.0004,         0.0004,         0.0003,         0.0003,         0.0003
INCOMELT190LN[1],Sierra Leone,,,Mil People,Base,          3.294,          3.312,          3.260,          3.616,          3.774,          3.759,          3.819,          3.995,          4.018,          3.996,          3.971,          3.961,          3.967,          3.979,          3.995,          4.010,          4.020,          4.018,          4.005,          3.980,          3.952,          3.924,          3.895,          3.863
INCOMELT190LN[1],Singapore,,,Mil People,Base,          0.000,          0.005,          0.005,          0.006,          0.005,          0.004,          0.004,          0.003,          0.002,          0.002,          0.002,          0.001,          0.001,          0.001,          0.001,          0.001,          0.001,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000
INCOMELT190LN[1],Slovakia,,,Mil People,Base,          0.072,          0.062,          0.054,          0.057,          0.056,          0.059,          0.056,          0.044,          0.037,          0.031,          0.027,          0.024,          0.022,          0.020,          0.019,          0.017,          0.016,          0.015,          0.013,          0.012,          0.011,          0.010,          0.009,          0.008
INCOMELT190LN[1],Slovenia,,,Mil People,Base,         0.0000,         0.0016,         0.0013,         0.0011,         0.0010,         0.0011,         0.0009,         0.0006,         0.0005,         0.0004,         0.0003,         0.0002,         0.0002,         0.0001,         0.0001,         0.0001,         0.0001,         0.0001,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000
INCOMELT190LN[1],Solomon Islands,,,Mil People,Base,          0.157,          0.159,          0.174,          0.209,          0.224,          0.220,          0.218,          0.208,          0.211,          0.211,          0.211,          0.210,          0.210,          0.209,          0.208,          0.207,          0.205,          0.202,          0.198,          0.193,          0.189,          0.185,          0.181,          0.178
INCOMELT190LN[1],Somalia,,,Mil People,Base,          6.740,          6.791,          6.895,          7.447,          7.839,          8.212,          8.543,          8.887,          9.030,          9.045,          9.042,          9.057,          9.112,          9.194,          9.283,          9.390,          9.485,          9.545,          9.561,          9.526,          9.379,          9.126,          8.818,          8.470
INCOMELT190LN[1],South Africa,,,Mil People,Base,          10.86,          11.03,          11.27,          11.82,          11.77,          11.85,          12.15,          11.93,          12.09,          12.14,          12.16,          12.16,          12.13,          12.07,          12.01,          11.93,          11.85,          11.80,          11.76,          11.73,          11.71,          11.69,          11.65,          11.60
INCOMELT190LN[1],Spain,,,Mil People,Base,          0.321,          0.298,          0.279,          0.283,          0.276,          0.284,          0.269,          0.232,          0.202,          0.178,          0.159,          0.143,          0.128,          0.114,          0.101,          0.090,          0.080,          0.072,          0.064,          0.057,          0.052,          0.046,          0.042,          0.038
INCOMELT190LN[1],Sri Lanka,,,Mil People,Base,          0.180,          0.165,          0.151,          0.152,          0.134,          0.120,          0.107,          0.089,          0.082,          0.073,          0.066,          0.058,          0.051,          0.044,          0.038,          0.033,          0.028,          0.024,          0.021,          0.018,          0.015,          0.013,          0.011,          0.009
INCOMELT190LN[1],St. Lucia,,,Mil People,Base,          0.008,          0.008,          0.008,          0.012,          0.012,          0.011,          0.010,          0.010,          0.008,          0.008,          0.007,          0.007,          0.007,          0.007,          0.006,          0.006,          0.006,          0.005,          0.005,          0.005,          0.005,          0.005,          0.004,          0.004
INCOMELT190LN[1],St. Vincent and the Grenadines,,,Mil People,Base,          0.012,          0.012,          0.012,          0.014,          0.016,          0.015,          0.015,          0.015,          0.014,          0.014,          0.014,          0.014,          0.014,          0.014,          0.013,          0.013,          0.013,          0.013,          0.013,          0.012,          0.012,          0.012,          0.011,          0.011
INCOMELT190LN[1],Sudan,,,Mil People,Base,          4.171,          4.270,          4.647,          5.296,          5.581,          5.420,          5.225,          4.890,          4.826,          4.684,          4.530,          4.378,          4.246,          4.128,          4.008,          3.891,          3.775,          3.653,          3.522,          3.384,          3.242,          3.102,          2.963,          2.826
INCOMELT190LN[1],Sudan South,,,Mil People,Base,          9.241,          8.809,          8.399,          8.201,          7.782,          7.612,          7.699,          8.032,          8.216,          8.292,          8.251,          8.083,          7.807,          7.478,          7.207,          7.031,          6.941,          6.917,          6.935,          7.001,          7.104,          7.298,          7.404,          7.501
INCOMELT190LN[1],Suriname,,,Mil People,Base,          0.110,          0.105,          0.100,          0.110,          0.107,          0.112,          0.119,          0.111,          0.106,          0.101,          0.097,          0.094,          0.093,          0.092,          0.090,          0.087,          0.083,          0.080,          0.076,          0.076,          0.075,          0.074,          0.073,          0.072
INCOMELT190LN[1],Sweden,,,Mil People,Base,          0.025,          0.023,          0.021,          0.022,          0.022,          0.023,          0.022,          0.021,          0.018,          0.016,          0.014,          0.013,          0.011,          0.010,          0.009,          0.008,          0.007,          0.006,          0.005,          0.005,          0.004,          0.004,          0.003,          0.003
INCOMELT190LN[1],Switzerland,,,Mil People,Base,          0.000,          0.008,          0.007,          0.007,          0.006,          0.006,          0.006,          0.005,          0.005,          0.004,          0.004,          0.004,          0.003,          0.003,          0.003,          0.003,          0.003,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.001
INCOMELT190LN[1],Syrian Arab Republic,,,Mil People,Base,          5.915,          5.647,          5.483,          5.557,          5.781,          6.188,          7.034,          7.169,          7.650,          7.906,          8.018,          8.042,          8.050,          8.064,          8.081,          8.071,          7.998,          7.859,          7.718,          7.624,          7.550,          7.551,          7.618,          7.708
INCOMELT190LN[1],Taiwan,,,Mil People,Base,          0.000,          0.019,          0.016,          0.012,          0.008,          0.006,          0.005,          0.003,          0.003,          0.002,          0.002,          0.002,          0.001,          0.001,          0.001,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000,          0.000
INCOMELT190LN[1],Tajikistan,,,Mil People,Base,          0.248,          0.217,          0.197,          0.204,          0.206,          0.209,          0.221,          0.225,          0.236,          0.237,          0.231,          0.221,          0.210,          0.199,          0.188,          0.176,          0.164,          0.153,          0.142,          0.132,          0.123,          0.116,          0.109,          0.103
INCOMELT190LN[1],Tanzania,,,Mil People,Base,          26.85,          26.77,          26.45,          27.60,          28.37,          28.42,          28.51,          28.98,          28.75,          28.34,          27.82,          27.36,          27.00,          26.76,          26.62,          26.53,          26.43,          26.31,          26.20,          26.13,          26.11,          26.11,          26.09,          26.05
INCOMELT190LN[1],Thailand,,,Mil People,Base,          0.021,          0.079,          0.066,          0.075,          0.077,          0.065,          0.053,          0.041,          0.031,          0.023,          0.017,          0.012,          0.009,          0.007,          0.005,          0.004,          0.003,          0.003,          0.002,          0.002,          0.001,          0.001,          0.001,          0.001
INCOMELT190LN[1],Timor-Leste,,,Mil People,Base,          0.262,          0.389,          0.233,          0.294,          0.402,          0.415,          0.454,          0.457,          0.449,          0.439,          0.429,          0.417,          0.390,          0.365,          0.351,          0.351,          0.340,          0.321,          0.302,          0.277,          0.255,          0.232,          0.210,          0.186
INCOMELT190LN[1],Togo,,,Mil People,Base,          3.688,          3.688,          3.684,          3.854,          3.961,          4.009,          4.078,          4.327,          4.372,          4.405,          4.429,          4.451,          4.473,          4.501,          4.534,          4.572,          4.608,          4.636,          4.654,          4.659,          4.644,          4.608,          4.548,          4.465
INCOMELT190LN[1],Tonga,,,Mil People,Base,         0.0007,         0.0008,         0.0011,         0.0015,         0.0018,         0.0018,         0.0019,         0.0019,         0.0022,         0.0024,         0.0027,         0.0030,         0.0031,         0.0030,         0.0029,         0.0029,         0.0028,         0.0028,         0.0027,         0.0026,         0.0025,         0.0024,         0.0024,         0.0023
INCOMELT190LN[1],Trinidad and Tobago,,,Mil People,Base,          0.004,          0.004,          0.004,          0.005,          0.006,          0.005,          0.005,          0.004,          0.004,          0.003,          0.002,          0.002,          0.002,          0.001,          0.001,          0.001,          0.001,          0.001,          0.001,          0.000,          0.000,          0.000,          0.000,          0.000
INCOMELT190LN[1],Tunisia,,,Mil People,Base,          0.028,          0.029,          0.031,          0.042,          0.046,          0.054,          0.070,          0.064,          0.072,          0.078,          0.084,          0.092,          0.099,          0.105,          0.111,          0.116,          0.121,          0.127,          0.128,          0.123,          0.116,          0.108,          0.100,          0.090
INCOMELT190LN[1],Turkey,,,Mil People,Base,          0.112,          0.107,          0.099,          0.101,          0.090,          0.079,          0.067,          0.057,          0.054,          0.051,          0.046,          0.042,          0.037,          0.032,          0.027,          0.024,          0.021,          0.019,          0.017,          0.015,          0.013,          0.012,          0.011,          0.009
INCOMELT190LN[1],Turkmenistan,,,Mil People,Base,          0.078,          0.068,          0.051,          0.050,          0.039,          0.035,          0.034,          0.023,          0.021,          0.019,          0.016,          0.013,          0.011,          0.009,          0.007,          0.007,          0.006,          0.005,          0.004,          0.004,          0.003,          0.003,          0.002,          0.002
INCOMELT190LN[1],Uganda,,,Mil People,Base,          17.08,          17.37,          17.04,          17.84,          18.04,          17.91,          17.61,          17.84,          17.37,          16.84,          16.31,          15.82,          15.33,          14.81,          14.27,          13.72,          13.15,          12.55,          11.94,          11.30,          10.65,          10.00,          9.341,          8.684
INCOMELT190LN[1],Ukraine,,,Mil People,Base,          0.010,          0.048,          0.037,          0.033,          0.032,          0.029,          0.024,          0.021,          0.016,          0.012,          0.009,          0.007,          0.006,          0.004,          0.004,          0.003,          0.003,          0.002,          0.002,          0.002,          0.002,          0.002,          0.001,          0.001
INCOMELT190LN[1],United Arab Emirates,,,Mil People,Base,          0.000,          0.010,          0.010,          0.012,          0.012,          0.014,          0.017,          0.011,          0.010,          0.009,          0.008,          0.007,          0.006,          0.006,          0.005,          0.005,          0.004,          0.003,          0.003,          0.003,          0.002,          0.002,          0.002,          0.001
INCOMELT190LN[1],United Kingdom,,,Mil People,Base,          0.137,          0.135,          0.137,          0.156,          0.151,          0.157,          0.159,          0.150,          0.152,          0.153,          0.154,          0.154,          0.153,          0.150,          0.147,          0.142,          0.137,          0.131,          0.125,          0.118,          0.112,          0.105,          0.097,          0.089
INCOMELT190LN[1],United States of America,,,Mil People,Base,          3.249,          3.093,          3.038,          3.175,          3.041,          2.846,          2.860,          2.801,          2.728,          2.664,          2.598,          2.530,          2.460,          2.389,          2.320,          2.253,          2.193,          2.135,          2.079,          2.023,          1.964,          1.899,          1.831,          1.759
INCOMELT190LN[1],Uruguay,,,Mil People,Base,          0.002,          0.005,          0.004,          0.004,          0.004,          0.004,          0.004,          0.004,          0.004,          0.003,          0.003,          0.002,          0.002,          0.002,          0.002,          0.001,          0.001,          0.001,          0.001,          0.001,          0.001,          0.001,          0.000,          0.000
INCOMELT190LN[1],Uzbekistan,,,Mil People,Base,          4.058,          3.825,          3.454,          3.373,          3.223,          3.042,          2.886,          2.693,          2.592,          2.468,          2.312,          2.124,          1.926,          1.742,          1.581,          1.443,          1.330,          1.234,          1.158,          1.100,          1.055,          1.012,          0.974,          0.932
INCOMELT190LN[1],Vanuatu,,,Mil People,Base,          0.042,          0.042,          0.042,          0.057,          0.064,          0.069,          0.072,          0.067,          0.063,          0.059,          0.056,          0.055,          0.056,          0.057,          0.057,          0.056,          0.053,          0.051,          0.048,          0.046,          0.044,          0.044,          0.043,          0.042
INCOMELT190LN[1],Venezuela; Bolivarian Republic,,,Mil People,Base,          4.199,          5.173,          9.174,          13.38,          12.72,          12.98,          14.33,          14.75,          16.67,          18.48,          19.86,          20.08,          19.78,          19.31,          18.78,          18.22,          17.59,          16.91,          16.18,          15.42,          14.66,          13.94,          13.29,          12.69
INCOMELT190LN[1],Viet Nam,,,Mil People,Base,          1.774,          1.461,          1.129,          1.028,          0.970,          0.824,          0.702,          0.647,          0.538,          0.446,          0.365,          0.295,          0.236,          0.187,          0.147,          0.114,          0.089,          0.071,          0.058,          0.047,          0.038,          0.031,          0.026,          0.021
INCOMELT190LN[1],Yemen,,,Mil People,Base,          13.14,          13.67,          14.40,          16.75,          17.92,          18.33,          17.78,          16.85,          16.59,          16.05,          15.63,          15.22,          14.79,          14.34,          13.85,          13.31,          12.75,          12.14,          11.49,          10.84,          10.24,          9.692,          9.178,          8.690
INCOMELT190LN[1],Zambia,,,Mil People,Base,          9.851,          10.01,          10.31,          10.86,          11.25,          11.52,          11.97,          11.77,          11.98,          12.15,          12.37,          12.61,          12.82,          12.97,          13.02,          13.00,          12.95,          12.92,          12.91,          12.93,          12.98,          13.06,          13.14,          13.23
INCOMELT190LN[1],Zimbabwe,,,Mil People,Base,          4.821,          4.729,          5.278,          5.944,          5.690,          5.550,          5.452,          5.331,          5.372,          5.374,          5.339,          5.257,          5.129,          4.980,          4.837,          4.700,          4.569,          4.442,          4.318,          4.198,          4.079,          3.968,          3.853,          3.736
